[0.98-2.26] 哈喽 大家好
[2.26-3.82] 怎么样 像不像小熊
[3.82-7.32] 把罗纳德的这个小熊帽子
[1387.21-1388.17] 就是亮亮和立军
[1388.17-1390.51] 你怎么证明你是在债权人
[1390.51-1390.99] 你说
[1391.95-1393.51] 我我觉得他是我债权人
[1393.51-1394.65] 因为他欠我钱
[1394.65-1395.11] 证据
[1396.03-1399.65] 所以债权人就是他欠了你钱
[1399.65-1401.19] 一定要留好证据
[1401.37-1405.81] 一般情况下需要你的债务债权关系的合同
[1405.81-1408.75] 就是当时他欠钱的时候写那个合同
[1408.75-1410.97] 哪怕是购房协议也好
[1410.97-1412.71] 哪怕当时按了一个白条
[1412.71-1414.25] 按了个手印说借了你多少钱
[1414.25-1415.53] 这个合同要有
[1415.53-1420.27] 而且要配有这个合同对应的银行转款记录
[1420.27-1421.41] 两边都能对上
[1421.41-1424.41] 你这边银行转出和他那边银行收到都对上
[1424.41-1426.09] 你这个债权就是生效债权
[1427.23-1428.43] 好了
[1428.43-1429.81] 下一步
[1429.81-1433.65] 管理人同时展开财产接管调查和整理工作
[1433.65-1437.66] 这个跟刚才那条我已经说完了
[1437.66-1444.45] 下一条召开第一次债权人会议
[1444.45-1445.95] 债权申报期满之日起
[1445.95-1448.33] 15日内召开第一次债权人会议
[1448.33-1450.89] 管理人就是那个律所啊
[1450.89-1453.77] 律师根据法院的要求完成债权申报
[1453.77-1458.01] 核实资产接管调查编制报表
[1458.01-1460.01] 撰写财产整理报告
[1460.01-1461.39] 各类法律文书
[1461.39-1463.69] 并且召开第一次债权人会议
[1463.69-1464.49] 第一次债权人会议
[1464.51-1466.75] 主要是把大家召集来一起啊
[1466.75-1467.67] 跟大家打个招呼
[1467.67-1469.13] 就是我们要干什么
[1469.13-1470.15] 各位老大
[1470.15-1474.07] 各位债权人这次请你们来都要干干什么
[1474.07-1476.45] 为什么一定要召集这次债权人会议
[1476.45-1478.31] 为什么不能不着急
[1479.45-1481.49] 关键点又来了
[1481.49-1484.09] 来这次开会的人
[1484.09-1485.27] 大家可以想象
[1485.27-1487.01] 不一定是全部的债权人
[1487.01-1487.89] 你想是不是这道理
[1488.89-1493.67] 就是可能恒大欠了两万四千亿
[1493.67-1494.15] 但是呢
[1494.15-1496.25] 可能只有两万亿来了
[1496.25-1497.41] 剩下四千亿啊
[1497.41-1499.69] 有可能那债权人家里出事啊
[1499.69-1502.59] 或者债权人自己有个什么三长两短就没来
[1502.59-1503.93] 或者他不知道没来
[1503.93-1506.99] 来了的这才是生效的
[1506.99-1511.25] 就说不是说没来的就不不不认你了
[1511.25-1511.97] 这不是啊
[1511.97-1515.27] 就是来开会的是有权利的
[1515.27-1518.33] 就是总书记连任
[1518.33-1524.13] 没有没有没有那个来了的才有才有权利的
[1524.15-1527.39] 没有资格表示自己没有没有意见同意
[1527.39-1528.35] 知道吧
[1528.35-1529.97] 不来的不来的就没有权利了
[1531.71-1533.27] 这是权利
[1533.27-1535.25] 所以那些大的银行一定会来
[1535.25-1536.31] 因为他们要投票反对
[1536.31-1538.79] 你要不要跟你讨价还价
[1540.41-1542.33] 下一阶段重整计划草案
[1542.33-1545.27] 提交召开第二次债权人会议
[1545.27-1550.31] 你看这个重整投资人招募工作
[1550.31-1553.29] 管理人在第一次债权人会议召开后
[1553.29-1555.87] 正式对外发布投资人招募文件
[1555.87-1557.49] 招募重整一项投资人
[1557.49-1560.37] 实务中未招募到优质投资人
[1560.37-1563.19] 管理人招募工作通常在议债会之前
[1563.19-1565.51] 即可和一项投资人初步接洽
[1565.51-1571.45] 以持续到法院裁定批准重整计划草案之前
[1571.45-1573.41] 一派胡言
[1573.41-1577.13] 这是咱们中国的法律就是其实是这里边是有漏洞
[1577.13-1578.55] 不是漏洞是故意的
[1578.55-1580.33] 就是就是怎么讲一派胡言的
[1580.33-1584.29] 就是说这个到这一步才去找拾荒者
[1584.29-1586.05] 这不是开国际玩笑吗
[1586.05-1588.93] 那谁去推动这个重组啊
[1588.93-1591.13] 谁去让法院停停牌
[1591.13-1592.43] 让让这个上市公司停牌
[1592.43-1596.77] 让这个上市公司的债务债主上法院去申请
[1596.77-1598.53] 那不都是这个拾荒者
[1598.53-1603.01] 就是重组所谓的这个叫什么重整投资人吗
[1603.01-1606.05] 我不就是最早最早的中国重整投资人吗
[1606.05-1612.09] 就是咱们不要老说我或者说那个那个啊
[1612.09-1613.19] 那恒大的那个啊
[1613.19-1614.19] 咱们咱们不要老说
[1614.19-1614.73] 这个啊
[1615.79-1616.43] 咱们说
[1617.79-1621.33] 锐毅和bb8锐毅和bb8
[1621.33-1622.35] 这个时候才出现
[1622.35-1623.55] 这就是一派胡言
[1623.55-1626.19] 锐毅和bb8在第一天换句话说
[1626.19-1629.17] 这个事就是锐毅和bb8推动的
[1629.17-1630.27] 当然恒大不是啊
[1630.27-1632.91] 恒大是许家印跑太快扯出蛋了
[1632.91-1635.55] 但是恒大扯蛋倒地的同时
[1635.55-1641.63] 锐毅和bb8已经盯上他了
[1641.63-1645.11] 然后就是重整计划草案提交
[1645.11-1646.45] 这是最关键的
[1646.45-1650.53] 重整计划草案就是上市IPO的招股说明书
[1650.53-1651.97] 懂吗
[1651.97-1659.85] 管理人募集到投资人后管理人募集到投资人后多么的虚伪啊
[1659.85-1666.25] 就是投资人花钱雇来管理人走完这个流程后
[1666.25-1667.93] 这怎么这才是真话
[1667.93-1670.99] 经和投资人协商制作重整计划草案
[1670.99-1673.69] 什么经和投资人协商啊
[1673.69-1675.13] 投资人给你甩过来
[1675.13-1676.05] 继续重整计划草案啊
[1676.05-1678.71] 你管理人给我乖乖的盖章
[1679.71-1681.11] 递上去公告
[1681.11-1682.23] 否则我就不顾你
[1682.23-1683.61] 我顾我顾中轮了
[1685.17-1687.37] 你别别别光扯这个
[1687.37-1689.25] 中国能干这个事的有的是对不对
[1689.25-1689.97] 香港也一样
[1691.23-1694.29] 先行提交法院审查后
[1694.29-1697.47] 提交第二次债权人会议表决
[1697.47-1700.71] 第二次债权人会议表决是要同意还是不同意
[1701.79-1705.45] 破产重整法破企业破产法第79条规定
[1705.45-1711.43] 债务人和管理人应当自人民法院裁定债务人重整之期六个月内
[1711.43-1715.35] 同时向人民法院和债权人提交重整计划草案
[1715.35-1717.31] 我们干可不会等六个月啊
[1717.31-1719.49] 弟兄们开国际玩笑啊
[1719.49-1721.01] 这事法院都让你开始了
[1721.01-1722.37] 然后你六个月内才提
[1722.37-1723.99] 我们你们六天就会给
[1725.21-1726.87] 一般法院会不太满意
[1726.87-1728.91] 让你修修改改的好多问题
[1728.91-1730.53] 最慢六个星期也公告了
[1732.03-1735.43] 前款规定的期限届满就六月经债务人或财务人会提交重整计划草案
[1735.45-1739.83] 债权人请求有正当理由的可以延期三个月
[1739.83-1740.73] 就是最长九个月
[1742.35-1743.91] 跟你们讲实际的吧
[1743.91-1745.39] 高手和低手吃相好看
[1745.39-1746.45] 吃相难看就在于此
[1746.45-1748.59] 高手习惯于未雨绸缪
[1748.59-1750.15] 动猪先鸡
[1750.15-1752.11] 就是我来去操作这些东西
[1752.11-1756.45] 其实已经把重整计划干好做好了
[1756.45-1759.65] 我才去推动法院
[1759.65-1761.67] 因为推动顾律师
[1761.67-1762.09] 为什么
[1762.09-1763.21] 因为要花钱了吗
[1763.21-1764.17] 要走流程了吗
[1764.17-1765.03] 你走流程之前
[1765.03-1766.75] 你妈没准备好还行
[1766.75-1769.65] 但是吃相不好的或者是生手
[1769.65-1770.93] 大家可以理解吧
[1770.93-1771.53] 这个老太太
[1771.53-1775.53] 比如宅小鸟习惯于见招拆招
[1775.53-1778.17] 随机应变的这个就不能理解
[1778.17-1779.35] 就是那么大的事
[1779.35-1780.75] 你怎么能随机应变呢
[1780.75-1781.77] 就是宅小鸟
[1781.77-1785.07] 买BS云盒就是我拿他做个例子吧
[1785.07-1786.69] 就是你骗那么多老百姓的钱
[1786.69-1787.71] 都骗了几十个亿了
[1788.91-1790.83] 你是不是应该早把钱挪到美国
[1790.83-1792.99] 早把美国绿卡搞定啊
[1792.99-1794.91] 甚至蓝本护照押好
[1794.91-1795.79] 说非就非
[1795.79-1797.31] 这不才是高手对不对
[1797.31-1798.87] 咱们就关上门来
[1798.87-1801.81] 咱就说他妈的在商言商
[1801.81-1802.39] 在黑道
[1802.39-1802.95] 咱说黑道
[1802.95-1805.59] 黑道你是不是也得有点专业精神啊
[1805.59-1807.47] 你怎么能往迪拜跑呢
[1807.47-1809.81] 你这就是很不专业呀
[1809.81-1810.81] 你往迪拜跑
[1810.81-1812.31] 四个人都可以往迪拜跑啊
[1812.31-1815.91] 那就是都你怎么不往缅北跑啊
[1815.91-1817.47] 你这太low了
[1817.47-1818.79] 你是玩金融的吗
[1818.79-1819.69] 你是这个层次吗
[1819.69-1821.67] 你是不是变成这个层次了
[1821.67-1823.79] 那你不就找着你的仇人要收拾你吗
[1823.79-1824.91] 那你怎么续签呀
[1824.91-1827.67] 所以咱们走题了
[1827.67-1828.31] 就是说什么呢
[1828.31-1830.09] 就是一定是已经准备好了
[1830.09-1832.99] 所以六个月有延期三个月是不可能的
[1832.99-1834.35] 高手是不可能的
[1834.35-1835.49] 在我们这个行
[1835.49-1837.47] 在我这个公司
[1837.47-1839.49] 我这个体系里边
[1839.49-1840.75] 我有一句名言
[1840.75-1842.03] 所有的人都要记好
[1842.03-1843.69] 就是上市公司重整
[1843.69-1844.81] 无论是他破产重整
[1844.81-1846.75] 还是上市公司并购重组
[1846.75-1848.11] 三个月必见分晓
[1848.11-1851.67] 如果从启动之后到做完
[1851.67-1853.55] 三个月没有动静
[1853.55-1854.05] 你这个事
[1854.05-1854.89] 八九
[1854.91-1856.09] 不离十要出要黄
[1857.31-1858.13] 这是规律
[1858.13-1859.05] 我也不知道为什么
[1859.05-1860.37] 这是我总结的规律
[1860.37-1863.91] 所有成功的重组从启动到基本上大势已定
[1863.91-1865.47] 三个月结束
[1865.47-1869.23] 如果没有连去组合拳打三个月结束的可能
[1869.23-1869.73] 哎呀
[1869.73-1871.59] 延期延期基本上要流产
[1872.61-1874.15] 所以我的观众里边
[1874.15-1879.27] 如果你们有法院的法官或者有律师在接触破产重整
[1879.27-1882.21] 你们也可以拿这个编排一下你们的时间表
[1882.21-1884.51] 如果有一帮傻逼来给你们申请
[1884.51-1884.91] 然后
[1884.91-1885.93] 他又申请延期了
[1885.93-1887.29] 他又申请延期了
[1887.29-1888.93] 你就把他当个屁饭了
[1888.93-1894.09] 你别你别把你的今年的工作亮点放在这个项目上
[1894.09-1895.15] 要不然你就崴泥了
[1897.03-1898.89] 重整计划草案分组表决
[1900.03-1901.19] 又来内容了
[1901.19-1904.35] 法院在收到重组计划之日三十日内
[1904.35-1907.47] 说到法院收到这个计划三十日内
[1907.47-1909.27] 必须召开第二次债权人会议
[1909.27-1911.57] 就是终局债权人会议干嘛
[1911.57-1914.75] 表决同意同意的举手反对的举手没有
[1914.75-1916.91] 没有没有这这个啊
[1916.91-1919.51] 那第四个战争会登记造册吗
[1919.51-1921.89] 就谁有资格来说没有吗
[1921.89-1923.21] 这不是这不就开始了吗
[1923.21-1923.87] 第二次来了
[1923.87-1924.83] 这是那些人就来了
[1924.83-1926.93] 拿到进门证的债权人就来了
[1928.51-1935.33] 企业破产法第八十二条规规定下列各类债权人的债权人参加讨论重整计划的债权人会议
[1935.33-1939.77] 依照下列债权分类分组对重整计划草案进行分类表决
[1939.77-1943.65] 一对债务人特定财产享有担保权的二
[1943.65-1947.09] 债务人所欠职工的工资医疗伤残补助
[1947.09-1950.99] 抚恤金所欠的应当划入职工个人账户的养老金
[1950.99-1958.25] 本金基本医疗保险费用以及法律行政法规规定应当支付给职工的补偿金
[1958.25-1967.70] 第三债务人所所欠税款四普通债权四倍老王给你翻译成你们能听懂的啊
[1967.70-1969.18] 共产党在这个事上
[1969.18-1970.22] 大家听好了
[1970.22-1971.06] 共产党在这事
[1971.06-1972.52] 真的挺专业的
[1972.52-1974.66] 大家不要老说共产党是傻逼
[1974.66-1976.88] 共产党藏龙无恶虎
[1976.88-1978.34] 陈金南对韦小宝说
[1978.34-1983.54] 小宝当今朝廷但凡有点脑子的都已经为朝廷服务了
[1983.54-1985.80] 所以我们不得已只能用些蠢人
[1985.80-1987.90] 所以你不要以为朝廷里边有傻逼
[1987.90-1990.12] 听我细细表决
[1990.12-1994.56] 第一对债务人的特定财产享有担保权的债权
[1994.56-1995.74] 这个不就不说了
[1995.74-1999.12] 因为他是有别人替他还有担保的啊
[1999.12-1999.78] 二
[1999.78-2001.04] 一
[2001.04-2003.10] 所欠职工工资
[2003.10-2003.86] 就说什么呢
[2003.86-2005.52] 工资什么医疗工伤
[2005.52-2006.20] 伤残呀
[2006.20-2006.74] 养老啊
[2006.74-2008.90] 基本保险费用啊
[2008.90-2009.74] 给个人的补偿
[2009.74-2011.66] 就是这个上市公司
[2011.66-2015.08] 包括恒大集团欠员工的工资不能赖
[2016.22-2017.96] 必须现金偿还
[2017.96-2020.06] 这一部分是必须现金偿还的
[2020.06-2020.84] 不能说哎
[2020.84-2022.46] 我给你画个饼还你行吗
[2022.46-2022.76] 不行
[2024.26-2028.22] 所以欠老百姓欠工人工资是必须要还的
[2028.22-2030.02] 实打实真金白银还
[2031.04-2034.22] 为什么共产党这个时候这么高尚
[2035.48-2036.62] 共产党对人民好吗
[2036.62-2038.06] 不一文字
[2038.06-2039.68] 共产党怕闹事
[2039.68-2040.54] 懂吗
[2040.54-2042.22] 因为上市公司
[2042.22-2044.98] 就我以前讲过中国A股的故事的时候
[2044.98-2049.38] 你都知道上市公司大部分都是国有大型企业
[2049.38-2055.26] 早期的几千几千的员工退休员工都有几百几千
[2055.26-2056.86] 你要是把他们得罪了
[2056.86-2058.14] 他们就会走上街头
[2058.14-2059.78] 形成不稳定因素
[2059.78-2061.02] 这是共产党最担心的原因
[2061.04-2065.60] 所以共产党就在立法的时候就规定谁是拾荒者
[2065.60-2066.74] 你不是有钱吗
[2066.74-2069.08] 你不是想在这个坠落过程中捡破烂
[2069.08-2069.54] 挣钱吗
[2069.54-2073.80] 你他们先给我把职工的工资还了
[2073.80-2074.98] 欠工资还了
[2074.98-2079.58] 这是对所有的潜在重组上市公司的重组人最大的挑战
[2079.58-2083.54] 所以在我们去看哪个壳可以买
[2083.54-2086.84] 通过破产种种买哪个壳不可以买的时候
[2086.84-2090.14] 首先要看的就是不是看他欠银行多少钱
[2090.14-2090.48] 欠银行的钱都可以买了
[2091.04-2094.04] 欠了多少职工
[2094.04-2095.12] 有多少职工
[2095.12-2096.82] 如果说有离退休职工两千人
[2096.82-2098.66] 别别别别别别别看了
[2098.66-2099.44] 别看了
[2099.44-2100.76] 这可不行啊
[2100.76-2101.66] 这可不行
[2101.66-2103.70] 再诱人条件再好
[2103.70-2104.30] 你接不住
[2105.32-2107.86] 比如说河南有一个叫莲花未经的
[2107.86-2109.34] 我去看过
[2109.34-2110.04] 我就退了
[2110.04-2112.58] 我不知道有哪个傻大个去接的
[2112.58-2114.44] 这个好像是有人接了
[2114.44-2115.22] 这个不行
[2115.22-2116.64] 为什么呢
[2116.64-2118.16] 工人太多了
[2118.16-2120.68] 这个那你能搞得定吗
[2120.68-2121.02] 莲花未经
[2121.04-2122.18] 莲花未经是什么企业
[2122.18-2123.56] 那都多少年了
[2123.56-2125.78] 那些老老员工都是祖孙三代
[2125.78-2127.70] 那你你装大把算进去
[2127.70-2130.28] 能看他们敢不敢把抱着扎耳包
[2130.28-2131.38] 给你同归于尽去
[2131.38-2135.20] 所以地方政府和派出所头疼不头疼
[2135.20-2137.00] 所以这个事是不能乱碰的
[2137.00-2138.56] 所以职工这个债权啊
[2138.56-2139.46] 今天我告诉大家
[2139.46-2142.40] 职工只欠职工的这个钱是真金白银
[2142.40-2143.68] 要给人家还你还掉的
[2144.98-2147.22] 然后下一条一句话带过
[2147.22-2148.28] 债务人所欠税款
[2148.28-2148.58] 哇
[2148.58-2150.14] 他这就是共产党贼的地方
[2150.14-2151.04] 税款
[2151.04-2154.58] 欠的税款是他们必须给的
[2154.58-2156.02] 而且是必须现金给的
[2156.02-2157.16] 也是不能赖的
[2157.16-2159.92] 就是共产党政府要你的钱
[2159.92-2160.94] 就是你欠政府的钱
[2160.94-2163.28] 你一分钱都不能赖
[2163.28-2165.68] 税和款不光是税啊
[2165.68-2168.98] 还费也都也都必须要交
[2168.98-2170.78] 这这这党很聪明
[2170.78-2173.52] 党和政府在这个过程中绝不吃亏
[2173.52-2175.02] 就是你捡破了二星
[2175.02-2176.56] 你卖了那个锂电池也好
[2176.56-2178.68] 你卖了那个反物质电池也好
[2178.68-2179.90] 你换来的钱
[2179.90-2181.02] 先把我们的钱
[2181.02-2181.50] 给了
[2181.50-2183.48] 先把这个政府和党的钱给了
[2184.68-2186.84] 然后才是普通债权
[2186.84-2188.16] 普通债权
[2188.16-2188.94] 那这里边呢
[2188.94-2190.14] 其实他还少说了一点
[2190.14-2192.84] 就是法院也要收钱的
[2192.84-2194.04] 法院的艳过八卦
[2194.04-2195.12] 能白给你干吗
[2195.12-2197.08] 你以为法官是免费劳动吗
[2197.08-2198.90] 律师事务所当然更是了
[2198.90-2199.80] 像我以前讲的
[2199.80-2201.90] 你要请中国最贵的律师事务所
[2201.90-2203.94] 最贵的会计事务所给你干这个事
[2203.94-2206.66] 所以律师事务所的钱你也不能欠啊
[2206.66-2208.32] 那个也是要第一时间给
[2208.32-2210.30] 否则他们不给你推动这个事啊
[2210.30-2210.78] 你欠
[2211.02-2212.20] 那结果不就耽误你自己事
[2213.70-2214.38] 好了
[2214.38-2218.42] 接着念啊
[2218.42-2220.36] 第八十四条规定破产法
[2220.36-2223.16] 人民法院应当自收到重整计划草案之日起
[2223.16-2224.84] 三十日内召开债权人会议
[2224.84-2227.36] 对重整计划草案进行表决
[2227.36-2228.68] 第八十五条规定
[2228.68-2231.80] 重整计划草案涉及出资人权益调整事项的应设
[2231.80-2234.36] 出资人组对该事项进行表决
[2234.36-2235.88] 出资人组就是我呀
[2235.88-2237.20] 就是不是我呀
[2237.20-2240.50] 就是就是锐和bb8呀
[2240.50-2241.94] 所以出资人组呢
[2241.94-2243.46] 当然表决会通过了
[2243.68-2248.72] 出资人权益调整的一句话就给你带过了
[2248.72-2250.46] 什么叫出资人权益调整
[2252.32-2253.82] 出资人权益必须调整
[2255.56-2257.92] 当然恒大集团未必适用
[2257.92-2259.46] 但是因为他体量太大了
[2259.46-2261.44] 我们在国内玩这些事的话
[2261.44-2264.08] 或者我们在A股玩这些事的话
[2264.08-2267.32] 我们出资人就会拿出来一块优质资产
[2267.32-2269.82] 就是有经营性还有生命力的资产
[2269.82-2271.46] 捐赠进这个上市公司
[2271.46-2273.40] 甚至现金直接捐赠进去
[2273.68-2275.44] 捐赠进去之后
[2275.44-2278.12] 形成资本攻击直接发行股票出来
[2278.12-2281.96] 必须是出资人干这件事
[2281.96-2286.14] 而且出资人在这之前必须要买一个小股东
[2286.14-2288.16] 成为一个上市公司的
[2288.16-2289.58] 就是恒大集团的小股东
[2289.58-2292.74] 因为我敲黑板画重点
[2292.74-2293.76] 这他们没人告诉你们
[2293.76-2295.80] 只有是股东捐赠
[2295.80-2297.72] 现金也好资产也好
[2297.72-2298.46] 优质资产也好
[2298.46-2299.88] 捐赠真金白银进来
[2299.88-2301.26] 才是免税的
[2301.26-2302.90] 否则的话外人捐赠
[2302.90-2303.88] 第三方捐赠
[2303.88-2304.88] 这个上市公司
[2304.88-2305.96] 即使在破产状态
[2305.96-2307.40] 他也要交税的
[2307.40-2308.56] 因为你捐赠过来
[2308.56-2309.72] 就适同你收入了
[2309.72-2310.64] 明白吧
[2310.64-2311.98] 而且是所得税
[2311.98-2313.78] 因为你捐赠了
[2313.78-2314.68] 因为没有成本
[2314.68-2315.52] 捐赠所得
[2315.52-2317.40] 那他们税率太高了
[2317.40-2319.28] 所以你不能捐赠一个亿
[2319.28-2320.26] 他们交好几千万税
[2320.26-2321.08] 你不是傻逼吗
[2321.08-2323.68] 所以一个一分钱的税都不能交
[2323.68-2325.10] 怎么这事
[2325.10-2328.52] 我接受大家所有的人尽职调查
[2328.52-2331.26] 这个事第一次在中国资本上玩通的
[2331.26-2331.66] 就是我
[2331.66-2332.62] 就是我
[2332.62-2335.08] 怎么不交税
[2335.08-2336.44] 为什么不交税
[2336.44-2337.48] 税务局能认
[2337.48-2338.80] 国税地税都能认
[2338.80-2339.76] 证监会能认
[2340.84-2342.28] 就是交易所能认
[2343.42-2345.68] 就是我设计这个渠道
[2345.68-2346.74] 我刚才跟你们说过了
[2346.74-2347.56] 我不想再说了
[2347.56-2348.82] 因为有缘者得志
[2348.82-2349.54] 明白吧
[2349.54-2351.94] 必须是那个人捐啊
[2351.94-2355.42] 点小钱变成那个身份捐进去
[2355.42-2356.68] 这他妈是最值钱的
[2356.68-2358.72] 这句话值一个亿
[2360.16-2361.34] 就看完广告啊
[2361.34-2362.20] 再看五遍啊
[2362.62-2367.00] 这个企业破产法
[2367.00-2367.66] 然后呢
[2367.66-2369.40] 这是表决了吗
[2369.40-2372.46] 破产计划的批准和效力
[2372.46-2379.96] 各表决组通过重整计划草案的即为通过经法院裁定批准后
[2379.96-2382.54] 对全体债权人和债务人具有约束力
[2382.54-2383.92] 就是一旦批准
[2383.92-2385.54] 没有人敢说不啊
[2385.54-2386.62] 这是强力执行了
[2387.74-2389.72] 破产法第86条规定
[2389.72-2392.50] 各表决组均通过重整计划草案后
[2392.50-2394.72] 草案计划即为通过
[2394.72-2397.42] 自重整计划通过之期十日内
[2397.42-2402.94] 债务人或管理人应当向法院提出批准重整计划的申请
[2402.94-2406.74] 法院经审查认为合规的即予以批准
[2406.74-2409.96] 终止破产重新重整程序并予以公告
[2409.96-2411.46] 结束了打完收工
[2413.26-2415.78] 部分小组未表决通过的重整计划
[2415.78-2417.52] 法院强制裁定批准
[2419.02-2419.80] 就是什么意思
[2421.32-2422.20] 刚才我们说了
[2422.50-2423.76] 欠员工的钱
[2423.76-2425.14] 欠政府的钱必须给
[2425.14-2427.00] 然后律所和法院的钱必须给
[2427.00-2428.24] 那最大头呢
[2428.24-2430.84] 欠上下游企业的钱
[2430.84-2432.42] 欠量量力军的钱
[2432.42-2436.06] 欠银行机构的钱怎么办呢
[2439.45-2441.57] 他后边写了好多的这个专业术语
[2441.57-2442.59] 你们一定听不懂
[2442.59-2443.91] 那我给你们讲
[2443.91-2445.35] 你们能听懂
[2445.35-2445.83] 就是
[2447.15-2448.05] 有钱吗
[2448.05-2449.13] 给点钱吧
[2449.13-2451.47] 没有没有滚
[2451.47-2452.73] 不行的话就抢财了
[2454.23-2456.51] 啊一点钱都没给没有啊
[2456.51-2458.19] 没有那怎么办
[2458.19-2459.75] 给点股票吧
[2459.75-2462.87] 股票这股票都跌到一分了呀
[2462.87-2463.47] 你要不要
[2464.79-2466.29] 我给你拼了
[2466.29-2468.27] 我不要那这样
[2468.27-2471.09] 我承诺你两年之内涨到一块
[2471.09-2471.51] 行吗
[2472.77-2475.89] 那你承诺你拿什么担保啊
[2477.03-2478.41] 我拿嘴担保行吗
[2480.21-2480.51] 不行
[2480.51-2481.21] 滚不行
[2481.21-2482.19] 滚抢财了
[2482.19-2482.47] 哎呀
[2482.47-2483.87] 行行行行行行
[2483.87-2484.23] 有点
[2484.23-2485.67] 总比没有强有点
[2485.67-2486.87] 总比没有强
[2486.87-2488.67] 这就是真正的过程
[2489.69-2490.83] 真是这样的
[2490.83-2492.27] 只不过我那有点夸张
[2492.27-2493.53] 我有点戏剧化
[2493.53-2498.45] 但是所有的银行金融机构及上下游企业在这个过程中
[2498.45-2500.41] 他们作为普通债权人组
[2500.41-2503.55] 他们的谈判筹码非常之低
[2503.55-2505.41] 因为什么人家陌生就走不玩了
[2505.41-2506.37] 你就啥都没有了
[2507.45-2509.43] 他们唯一的筹码就是赌
[2509.43-2510.63] 你不敢不玩
[2510.63-2511.59] 就觉得哎呦
[2511.59-2513.57] 你的BBS和你的锐易
[2513.57-2514.17] 你们他妈
[2514.17-2515.67] 的敢不玩
[2515.67-2517.59] 你们都投了一百万
[2517.59-2519.33] 请了律师投了三百万
[2519.33-2520.71] 付了律师前期费
[2520.71-2521.91] 又投了五百万
[2521.91-2524.41] 做了各种什么法律文书
[2524.41-2526.83] 你们的都千八百万现金砸进来了
[2526.83-2528.75] 而且你们要捐捐捐赠啊
[2528.75-2530.45] 捐好几十个亿啊
[2530.45-2531.39] 你们不玩
[2533.11-2533.61] 你们不玩
[2533.61-2535.95] 我就我就投反对票
[2536.97-2537.57] 你们敢吗
[2538.55-2539.07] 所以呢
[2539.07-2542.49] 他们是要跟你进行这个博弈
[2542.49-2544.05] 那作为上下游施工
[2544.05-2545.41] 我说我们这些人
[2545.41-2546.57] 他们是要跟你一起来说
[2546.57-2547.65] 因为他是民营的
[2547.65-2549.21] 他博弈能力为零
[2549.21-2550.79] 就真的是根本不关毛病
[2550.79-2553.95] 作为共产党的这些大的这些金融机构来说
[2555.15-2556.57] 他们跟你博弈起来呢
[2556.57-2558.15] 也不是特别的用心
[2558.15-2559.39] 因为他们都是国有的
[2559.39-2561.09] 一旦进入法院破产重重程序
[2561.09-2561.65] 什么叫国有
[2561.65-2562.49] 我给你翻一下
[2562.49-2564.47] 国有就是不要有人担责任
[2564.47-2565.91] 你不要让他担责任
[2565.91-2568.27] 那法院一旦进入程序的话
[2568.27-2569.57] 他给国资委也好
[2569.57-2571.01] 他给什么银监会
[2571.01-2572.27] 证监会也好
[2572.27-2573.57] 打这个报告保监会打报告的时候啊
[2573.57-2574.59] 他特立独行就行
[2574.59-2575.43] 你随大六就行
[2575.43-2577.45] 所以你给他的清偿方案
[2577.45-2579.59] 就是12个月以后
[2579.59-2580.75] 你的股票涨到一元
[2580.75-2582.27] 一元之后相当
[2582.27-2584.57] 一元给了他比如说一千万股
[2584.57-2586.19] 他就等于拿回了一千万
[2586.19-2587.17] 拿回了一千万
[2587.17-2588.73] 相当于他债权的多少呢
[2588.73-2589.69] 我告诉你啊
[2589.69-2590.69] 这个数记住了
[2590.69-2591.67] 25%
[2591.67-2594.33] 就是你欠银行联办代息10个亿
[2594.33-2596.39] 你还他2.5个亿
[2596.39-2597.23] 不用现金啊
[2597.23-2597.71] 不用现金
[2597.71-2599.49] 就是你还他2.5亿的股票
[2599.49-2601.79] 这股票可能现在不止2.5个亿
[2601.79-2603.55] 大概只值2500万
[2603.55-2606.33] 但是你承诺他10个月之内涨10倍
[2606.33-2609.17] 他就可以过了这个报告了
[2609.17-2610.99] 然后他就可以同意了
[2610.99-2612.85] 然后你再把他个人搞定就行了
[2612.85-2617.21] 那尤其是BB和BB8和锐业这种上边来的
[2617.21-2619.29] 因为恒大一经落万物生
[2619.29-2620.51] 他是帝国艰星舰呀
[2620.51-2624.21] 他不是我这种小蚂蚁小麻雀玩的商人公司
[2624.21-2625.95] 他是帝国艰星舰呀
[2625.95-2628.97] 他那里边你想24000亿里边有多少钱呀
[2628.97-2631.03] 真金白银至少有2000个亿呀
[2631.03-2633.11] 只要把这些债务全甩了
[2633.55-2636.55] 2000个亿至少有2000个亿
[2636.55-2639.61] 甚至更多他给谁呀
[2639.61-2640.99] 所以这个人呢
[2640.99-2646.09] 他的强大的能量会使得这些金融机构全部同意
[2646.09-2648.91] 至于最后12个月或者36个月之后
[2648.91-2650.71] 能不能到25%
[2651.81-2653.71] 我告诉你们弟兄们
[2653.71-2657.25] 在我国现在没有人去追这个事
[2657.25-2659.05] 就这事都过去了
[2659.05-2660.19] 没有人追
[2660.19-2662.17] 除非你不是个你
[2662.17-2663.13] 你是个这个
[2663.55-2667.79] 人家遇着咱们北京叫遇着怂人压不住胆过来
[2667.79-2669.19] 我们要追一下
