[1.14-2.46] Hello 大家好
[2.46-4.42] 今天是星期天
[1075.92-1076.76] 直追我
[1076.76-1078.00] 我才不在乎别人
[1078.04-1078.96] 从我这分流呢
[1079.16-1080.80] 都去看翟山英骗我300万去
[1081.68-1083.60] 大老王在温哥华憋了好多年
[1083.60-1085.12] 这下总算逮着一个好玩的
[1085.12-1086.16] 这下有乐趣了
[1086.20-1087.60] 大家看过猫抓老鼠吗
[1087.60-1088.80] 看完就知道大老王
[1088.80-1089.96] 为什么那么开心了
[1090.84-1092.72] 你他妈是不是我肚子里的蛔虫
[1092.76-1093.44] 我跟你说
[1093.44-1094.60] 今天早上他骂我
[1094.64-1095.56] 我是开着心
[1095.56-1096.92] 我是笑着看的
[1097.28-1099.44] 但是因为我知道我每次骂他
[1099.44-1100.84] 我跟弄小
[1100.88-1102.60] 他真的是会发脾气
[1102.60-1103.72] 打儿子的
[1103.72-1106.32] 好玩极了
[1106.32-1108.68] 给我的退休人生带来了无尽的乐趣
[1108.68-1109.84] 说的太对了
[1113.20-1115.16] 剧情有点朝科幻发展
[1115.16-1116.72] 老翟化被动为主动
[1116.72-1117.36] 骑上来了
[1117.36-1118.60] 老王你再不挺进
[1118.60-1120.12] 以后老翟就唱你扬尾了
[1120.12-1120.92] 没事
[1120.92-1121.80] 我就是扬尾
[1122.00-1123.40] 不能跟他挺进
[1123.40-1123.80] 为什么
[1123.80-1127.36] 他的逻辑和他的真话全是不存在的
[1127.40-1129.36] 地板都在地平线以下
[1130.64-1131.76] 地下室下
[1132.00-1133.00] 他反来附去
[1133.00-1134.08] 今天夸习近平
[1134.12-1135.00] 你们可以从网上
[1135.00-1135.08] 随便看
[1135.08-1136.20] 随便找他一个视频
[1136.20-1138.88] 带着个红领巾
[1138.88-1140.04] 带着个大红微博
[1140.04-1142.12] 在那东升西降
[1142.12-1143.00] 叭啦叭啦
[1143.00-1144.04] 夸习近平
[1144.04-1145.00] 逼逼逼逼
[1145.00-1146.24] 然后就反过身
[1146.24-1147.16] 习近平是个大傻逼
[1147.16-1148.28] 习近平是个大傻逼
[1148.28-1149.48] 我那还反共呢
[1149.48-1150.68] 这他
[1150.68-1153.00] 然后王岐忠天才
[1153.12-1154.16] 他不知道比我高多少
[1154.16-1155.64] 现在王岐忠是个大傻逼
[1156.32-1157.52] 我办不了这事
[1157.52-1158.68] 就是从逻辑上来说
[1158.68-1160.64] 我说服不了自己反复无常
[1160.92-1162.72] 所以我不会跟他对喷
[1163.64-1164.84] 我分工没事
[1164.84-1165.72] 我这人多
[1165.72-1167.20] 集资营虽然没有20万
[1167.20-1169.28] 但是一个人顶他10个100个
[1174.71-1175.95] 按照逻辑分析
[1175.95-1177.59] 你对翟副主席没毛病
[1177.63-1179.19] 毕竟在你没出现之前
[1179.19-1180.51] 他是先诋毁你的
[1180.55-1181.83] 现在你已经站出来了
[1181.83-1183.39] 而且貌似你对翟副主席
[1183.39-1184.47] 前世今生的了解
[1184.47-1186.11] 已经把翟副主席拿捏了
[1186.15-1187.99] 翟副主席还能出来喷大佬王
[1187.99-1189.11] 那很可能是
[1189.15-1190.87] 想制造话题上热搜
[1190.87-1192.55] 而且不会被追究责任的那种
[1192.55-1193.15] 哈哈
[1193.19-1194.07] 有可能
[1194.27-1195.47] 因为这小子
[1195.67-1197.51] 从始至终不提我的名字
[1197.51-1198.03] 他现在
[1198.03-1198.47] 他原来
[1198.47-1199.59] 还说牙缝王
[1199.63-1201.11] 他现在只说大牙缝
[1201.15-1202.87] 他连王都不提了
[1203.63-1205.91] 这小子真有可能是想白嫖我
[1205.95-1207.55] 就是既他妈的嫖了我
[1207.55-1209.11] 又不付嫖资的那种
[1209.27-1211.07] 这个既蹭了我热度
[1211.07-1212.59] 所有的知道我的人
[1212.59-1213.51] 都知道他骂我
[1213.51-1214.47] 所有不知道我的人
[1214.47-1215.63] 不知道他在骂谁
[1216.43-1218.11] 他真的可能在用这招
[1218.15-1219.47] 而且眼看着我的粉丝
[1219.47-1220.87] 长得速度比他快
[1220.87-1222.67] 我是个冉冉升起的新星
[1222.71-1223.71] 我给他出了主意
[1223.71-1224.87] 说看完我的油管
[1224.87-1225.75] 他做一期
[1225.75-1227.11] 他也跟不上接不上
[1227.11-1228.15] 缅北这一批
[1228.15-1228.43] 他怎么接不上
[1228.43-1229.03] 接
[1229.03-1229.99] 我说了40分钟
[1229.99-1230.75] 缅北说
[1230.75-1232.95] 基本上说个缅北的
[1233.79-1234.79] 大领导说
[1234.79-1235.67] 我说了70分
[1235.67-1237.31] 这评价是相当高的
[1238.03-1238.83] 他没法接
[1238.99-1240.35] 他连7分都接不住
[1240.35-1242.23] 所以他可能恼羞成怒了
[1242.23-1243.75] 以后他可能要蹭我了
[1243.79-1246.27] 这是王宅互斗的
[1246.27-1248.51] 这是戏宅秀的第5阶段
[1248.51-1249.87] 就是我不蹭他
[1249.87-1250.67] 他蹭我
[1250.83-1251.99] 我得躲着点他
[1252.63-1253.55] 这个地赖子
[1253.55-1255.23] 他这个逻辑什么智商
[1255.59-1256.79] 他贴上来之后
[1256.95-1257.71] 好麻烦
[1257.71-1258.35] 因为他裤裆
[1258.35-1259.47] 里都是屎
[1259.47-1260.47] 他啪甩出来
[1260.47-1262.79] 你说我是对甩还是擦
[1262.99-1263.59] 都不好
[1263.59-1264.35] 对不对
[1264.71-1265.59] 说的对
[1266.95-1270.03] 我不能让他把我顶到热搜上去
[1270.03-1270.83] 用这种方式
[1270.83-1271.47] 对不对
[1272.23-1274.03] 一盒黄金2000万买颗
[1274.03-1274.95] 进监狱的故事
[1274.95-1275.75] 没有细节
[1275.75-1276.91] 他能有细节吗
[1276.91-1277.99] 他是胡辞
[1278.99-1280.71] 不过这个提醒了我
[1281.79-1283.15] 一盒黄金
[1283.15-1286.11] 是我做了一个非常大的一个事
[1286.31-1288.35] 当时真的是都惊动了
[1288.35-1289.31] 这个周永康
[1289.91-1292.91] 当时我被很多人绑架
[1292.91-1295.39] 又差点刀口填血死一回
[1296.27-1297.63] 当时天津的
[1297.79-1301.03] 边海新区的公安局刑警的一把
[1301.03-1302.03] 王正鸿
[1302.79-1303.55] 救了我一命
[1303.55-1304.39] 我跟大家讲过
[1304.39-1305.71] 就是拯救吴先生
[1305.71-1307.47] 就是刘德华拍的拯救吴先生
[1307.47-1308.99] 说的是吴若甫的电影
[1309.11-1311.11] 可以在我身上完全套用
[1311.15-1312.39] 每个细节都一样
[1312.63-1314.83] 这些我一定会做视频
[1314.83-1315.75] 好好说
[1316.27-1317.59] 因为翟山兄没赶上
[1317.59-1317.67] 啊
[1317.67-1318.03] 翟山兄
[1318.03-1318.95] 那时候已经辞职
[1318.95-1319.51] 自己去那儿
[1319.51-1319.91] 啪啪啦
[1319.91-1320.71] 讲客气了
[1321.43-1323.39] 他不知道我收一盒黄金
[1323.39-1324.55] 收丘林的所有的细节
[1324.55-1325.55] 他都没参与过
[1325.59-1326.55] 我成了一盒黄金
[1326.55-1327.43] 他也没参与
[1327.47-1328.27] 他也不知道
[1328.31-1329.43] 所以对于他来说
[1329.59-1331.39] 他也是道听途说
[1331.43-1332.63] 从网上看点信息
[1332.63-1334.03] 再加上幻想
[1334.07-1336.71] 然后再加上他在住看守所的
[1336.71-1337.51] 那些细节
[1337.55-1338.59] 他了如指掌
[1338.63-1341.03] 他试图把我拉到他的熟悉的账号
[1341.03-1341.87] 里打败了
[1341.91-1343.27] 因为我没住过看守所
[1343.27-1344.31] 我也没进过监狱
[1344.31-1345.83] 我不知道门在哪边开
[1345.83-1346.79] 我也不知道细节
[1346.79-1347.83] 我没法跟他
[1348.03-1349.71] 我没法跟他对局
[1349.75-1352.51] 这就跟讲上市公司完全相反
[1352.51-1353.31] 讲上市公司
[1353.31-1354.23] 他根本没戏
[1354.23-1355.31] 因为他没做过
[1355.43-1357.15] 那么看守所我没做过
[1357.15-1359.63] 所以他想把我拉到看守所里
[1359.63-1360.19] 击败我
[1360.19-1361.15] 我不会去的
[1362.07-1364.47] 但是我会讲一盒黄金的前世今生
[1364.51-1366.91] 我当时在新浪博客
[1367.07-1367.55] 提过
[1367.55-1369.19] 我要人生的一个大目标
[1369.19-1370.11] 就是写一本小说
[1370.11-1372.15] 叫抬头望见北极光
[1372.51-1374.07] 抬头看见北极光
[1374.11-1377.35] 这个北极光是张炕炕的一本小说
[1377.47-1377.99] 张炕
[1377.99-1381.67] 是当时的知青
[1381.71-1382.59] 在北大荒
[1382.59-1384.03] 他是上海知青去的北大荒
[1384.03-1385.67] 就在哈尔滨附近
[1385.71-1387.87] 农场里边受罪受苦
[1387.91-1390.15] 所以他写了一本长篇小说
[1390.15-1392.51] 就是回忆知青的辛苦生活
[1394.27-1395.91] 我想扣他这个题
[1395.91-1397.51] 就是抬头看见北极光
[1397.55-1400.39] 就是我收购哈尔滨丘陵的过程中的
[1400.43-1401.79] 恩怨情仇
[1402.19-1406.19] 背叛金钱性和权利
[1406.47-1407.31] 这个东西
[1407.31-1407.75] 我擦
[1407.75-1408.99] 绝对过瘾
[1408.99-1409.47] 哥们们
[1409.47-1410.71] 我他妈要写这个东西
[1410.71-1412.99] 那遥远的救世主
[1412.99-1415.11] 就在我后边好几条街
[1415.11-1416.39] 我就能给他甩这么多
[1416.79-1418.47] 因为遥远救世主的作者
[1418.47-1419.43] 他没玩过这些事
[1419.63-1421.03] 他可能还不如山英呢
[1421.23-1423.51] 所以抬头看见北极光
[1423.51-1424.07] 这个坑
[1424.07-1425.51] 我今天正式挖到这儿
[1425.55-1427.87] 从我成立一颗黄金的idea
[1428.83-1429.91] 到最后
[1430.27-1432.07] 所有的事全部做完
[1433.74-1434.58] 所有过程
[1434.58-1436.50] 我给大家讲的清清楚楚的
[1436.62-1438.42] 每一步怎么惊心动魄的
[1438.42-1440.46] 这是我本来要写的小说
[1440.46-1443.34] 我用视频的形式给大家讲出来
[1443.34-1444.06] 讲完之后
[1444.06-1445.66] 我等我再上点岁数
[1445.66-1446.46] 真正退休之后
[1446.46-1447.38] 我再写小说
[1448.78-1450.18] 抬头望见北极光
[1450.38-1452.38] 我是打算放在2万分以后干的
[1452.38-1453.78] 我相信我干完了
[1454.34-1455.58] 真的10万分不远
[1455.74-1458.30] 有些网友说老王你就别做梦了
[1458.30-1459.38] 你5万分都到不了
[1459.38-1462.18] 因为油管上听众的素质是很低的
[1462.18-1463.18] 你们说错了
[1463.58-1465.38] 他们的素质是很高的
[1465.42-1466.58] 这些人的素质是很高
[1466.58-1468.38] 他们只是不知道我这个频道的
[1468.38-1469.22] 存在而已
[1470.22-1471.30] 偶有点进来的
[1471.30-1473.86] 也是我在起步的时候
[1473.86-1475.14] 跟翟晓英互相撕逼
[1475.14-1476.62] 正在炒作眼球
[1476.62-1479.62] 所以人家高素质的人是不感兴趣的
[1479.82-1482.26] 就是你跟翟晓英说谁进个宽叔所
[1482.26-1483.30] 人家感什么兴趣
[1483.30-1485.34] 谁他妈借钱嫖娼进去了
[1486.18-1487.62] 这无聊不无聊
[1487.98-1490.70] 但是我毕竟是真的资本达罗
[1490.70-1492.98] 所以我要写这个过程
[1492.98-1495.38] 在哈尔滨怎么爱恨情仇
[1496.14-1497.38] 你们等瞧好吧
[1497.38-1497.78] 我操
[1497.78-1498.62] 到不了5万份
[1498.62-1501.38] 写完我真的就是很失败的状态
[1501.42-1502.90] 因为我有信心
[1503.42-1504.82] 因为是我亲身经历的
[1505.22-1506.38] 非常的精彩
[1506.42-1508.10] 李东升
[1508.62-1509.82] 武长顺
[1510.10-1512.50] 周永康全在里边玩
[1512.54-1514.42] 全在里边局里边都有
[1517.77-1518.97] 今天算挖一个大坑
[1519.29-1520.89] 因为不是翟晓英提醒我
[1520.89-1521.89] 都把这事忘了
[1523.49-1525.45] 哭狗应该是个美女
[1525.77-1526.69] 说最硬的话
[1526.69-1527.61] 挨最毒的打
[1527.61-1528.53] 是说翟晓英的
[1528.53-1529.33] 没人听到
[1529.41-1531.53] 打的苦主们可能会追上他
[1531.53-1531.85] 打他
[1531.85-1534.29] 现在他之所以敢嚣张
[1534.29-1536.49] 就是因为他赌大家不知道他在哪
[1536.49-1537.41] 他躲起来
[1537.45-1538.85] 翟晓英不是个男人
[1538.85-1539.41] 不是个爷们
[1539.41-1540.33] 他是老娘们
[1540.33-1543.57] 就是赌场赌输了的农村老太太
[1543.57-1543.97] 为什么
[1543.97-1546.69] 他都不敢让大家知道他在哪
[1547.05-1547.81] 他都不敢让
[1547.81-1550.77] 这是他人生最疼的祭典
[1550.77-1553.85] 就是如果大家明天把他的通讯地址
[1553.89-1555.09] 公布到油管上
[1555.09-1556.57] 他后天就关油管走人了
[1556.57-1557.73] 就这么一个人设
[1557.77-1558.89] 我老王根本不在乎
[1558.89-1559.37] 我
[1560.13-1561.01] 我有钱没钱
[1561.01-1562.17] 我不想再跟他斗腹了
[1562.17-1563.45] 我住在温哥华
[1564.93-1566.77] 他住在哪个角落
[1566.77-1567.41] 咱们都不知道
[1567.41-1568.81] 他有可能住在他妈的一个
[1568.81-1570.93] 第三世界国家的厕所里
[1571.33-1572.57] 他都不敢跟他说
[1572.61-1573.25] 我说翟晓英
[1573.25-1574.09] 你住在厕所里
[1574.09-1575.25] 翟晓英都不敢抢白
[1575.25-1576.01] 说我不是厕所
[1576.01-1576.93] 你看街景
[1576.93-1578.21] 你拍一个街景不敢
[1578.97-1579.61] 为什么
[1579.65-1580.89] 你看我这身份
[1580.89-1582.37] 我明天去
[1582.37-1583.69] 我后天去洛杉矶
[1583.69-1584.85] 我提前可以喊
[1584.89-1585.81] 我上次去丹佛
[1585.81-1586.85] 我去西雅图
[1586.85-1587.81] 提前一天告诉大家
[1587.81-1588.77] 我要去美国
[1588.77-1589.13] 去
[1589.13-1589.97] 西雅图
[1589.97-1590.77] 去丹佛
[1590.77-1591.77] 大家都知道
[1592.77-1594.09] 他别说去哪
[1594.53-1596.57] 他连窗帘都不敢拉开
[1597.17-1598.97] 丢人丢人丢死了
[1599.61-1600.41] 15年以前
[1600.41-1601.29] 他不是这样的
[1601.57-1602.53] 我再次澄清
[1602.53-1603.17] 15年以前
[1603.17-1604.21] 我用他的时候
[1604.25-1605.61] 把他安排到建行的时候
[1605.61-1606.73] 真的他还不错
[1606.73-1607.73] 挺淳朴的
[1607.73-1608.53] 就是讲师
[1608.77-1609.41] 嘴厉害
[1609.41-1610.09] 嘴皮子厉害
[1610.09-1611.77] 我们用他这一点做marketing
[1611.81-1613.05] 做企业的公关
[1613.85-1615.65] 然后才让他去天然人间
[1615.69-1616.45] 招聘
[1617.17-1618.29] 他现在什么
[1618.29-1618.69] 对不对
[1618.69-1619.01] 我
[1619.13-1620.17] 承诺我不说他家人
[1620.25-1620.85] 不说
[1622.29-1624.09] 结果没想到这15年
[1624.09-1625.29] 不知道他经历了什么
[1625.29-1626.37] 在这15年的过程中
[1626.37-1627.61] 他经历了什么
[1628.49-1630.09] 变成了这样无耻的人
[1630.25-1632.49] 而且骗老人家的退休金
[1632.53-1636.09] 88,000卖人的趁着大铅板的小盒子
[1636.09-1637.37] 那哪是资本市场
[1637.37-1637.93] 资本运作
[1637.93-1639.21] 投资银行该干的事
[1640.61-1641.89] 但是就那句话
[1641.93-1643.05] 他是打劫的
[1643.05-1644.37] 我们最瞧不起他们
[1644.37-1644.65] 操
[1646.05-1646.77] 真是的
[1650.37-1652.29] 其他的就更是无稽之谈
[1652.29-1653.05] 自己拉屎
[1653.05-1653.73] 自己吃的
[1653.73-1655.41] 自我打脸的骂街之言
[1655.45-1656.57] 就不一一批驳了
[1656.57-1657.29] 太恶心了
[1657.29-1658.17] 总之
[1658.21-1661.49] 山炮听到小道消息又还扬了
[1661.49-1662.37] 天油加醋
[1662.37-1663.13] 捕风捉影
[1663.13-1663.89] 造谣骂街
[1663.89-1666.13] 人性之邪恶丑陋尽显
[1666.17-1668.81] 此人善念良知全无
[1668.81-1670.53] 邪恶狡诈恶毒
[1670.53-1672.05] 必将继续祸害人间
[1672.05-1673.33] 老王干死山猪
[1673.33-1675.21] 让邪恶者知道敬畏
[1675.73-1676.53] 不用你说
[1676.53-1677.61] 这些东西
[1678.17-1679.53] 举头三尺有神明
[1679.53-1680.41] 他走不了多远
[1680.41-1683.38] 你看他那个面相就知道了
[1683.38-1683.70] 这个东西
[1683.70-1685.10] 这位中共对骗子
[1685.10-1687.58] 会下那么大力气追打吗
[1687.62-1689.78] 苦主不找王海花50万的话
[1689.78-1691.74] 在国内派出所立案都不给立
[1691.74-1692.58] 再说了
[1692.62-1695.06] 真要搞你一个极异级别的小骗子
[1695.06-1697.46] 还要请资本大鳄上油管干说
[1697.50-1699.46] 而且连起诉都不起诉你
[1699.50-1701.70] 还说谷歌工程师提供信息违法
[1701.70-1702.66] 这是无知
[1702.70-1703.82] 信息只要不披露
[1703.82-1705.62] 不被发现就不构成违法
[1705.66-1707.30] 你都不知道人家有什么信息
[1707.30-1708.26] 如何起诉
[1708.30-1708.90] 对啊
[1708.90-1709.34] 是
[1709.46-1710.78] 翟山英他很low
[1710.78-1711.98] 他不知道这些东西
[1712.50-1713.66] 其实不用谷歌
[1713.66-1714.74] 工程师给我地址
[1714.74-1716.50] 我律师一封律师函过去
[1716.54-1718.02] 谷歌跟他签过免责协议
[1718.02-1719.26] 第一时间谷歌甩包
[1719.26-1720.82] 就会把他的地址给我
[1720.82-1721.86] 就是我不是起诉他
[1721.86-1722.74] 我起诉谷歌
[1722.74-1725.34] 因为谷歌是一个传谣造谣的平台
[1725.54-1727.90] 谷歌会第一时间把造谣人本人的地址
[1727.90-1728.46] 给我
[1729.54-1731.06] 他都不知道我手里有什么
[1731.06-1732.98] 他在那整天炸火
[1733.30-1734.70] 他不知道我在玩他
[1734.70-1735.82] 因为我的粉丝数不够
[1735.82-1736.54] 我得留着他
[1736.54-1738.02] 我一直告他养你到50万
[1738.02-1738.78] 在收割你
[1738.78-1740.10] 他听不懂这句话
[1740.38-1740.94] 没事
[1740.94-1742.86] 苦主们也许会提前收割他的
[1744.97-1745.45] 绝许
[1745.45-1746.41] 小网友
[1746.69-1748.77] 听完山炮喷粪了
[1748.77-1749.61] 谈谈感受
[1749.61-1751.61] 一跟锅片骂街一样
[1751.61-1752.61] 毫无逻辑
[1752.65-1753.53] 稍加思考
[1753.53-1755.33] 即可推断出其在撒谎污蔑
[1755.33-1755.57] 哎
[1755.57-1757.53] 这个是你智商级别的
[1757.53-1758.93] 他20万宅分里边
[1758.93-1760.85] 可估计16万还是没这个能力的
[1761.13-1763.41] 二拿货有债务忽悠
[1763.41-1764.49] 普通人买二手房
[1764.49-1765.69] 二手车都知道了解
[1765.69-1767.41] 有没有抵押借债之类的
[1767.45-1770.25] 堂堂中国首级投资人
[1770.25-1771.85] 不知道做尽职调查
[1772.17-1773.33] 完全胡说八道
[1773.33-1775.25] 说我一个黄金2000万
[1775.25-1775.41] 买个
[1775.45-1776.49] 会有债务进监狱
[1778.17-1779.97] 我没有办法去辩驳他吗
[1779.97-1780.53] 我跟你讲
[1780.53-1782.73] 没有办法去辩驳
[1782.73-1784.73] 因为他说的实在是太low了
[1784.73-1786.29] 他就像一个骂街的老太太
[1786.29-1787.37] 忽然就指着习主席
[1787.37-1788.25] 我操你妈
[1788.25-1789.29] 我就是操过你妈
[1789.29-1790.57] 我操过习仲勋
[1790.57-1792.61] 习仲勋只能把车窗摇上来
[1792.61-1795.05] 然后跟底下人小弟说干死他
[1795.17-1796.65] 就只能说这句话吗
[1796.89-1798.29] 所以我现在也不说什么了
[1803.65-1804.53] 这位网友说
[1804.53-1805.77] 收买资本大鳄
[1805.77-1807.81] 通过共产党收买资本大鳄
[1807.81-1807.85] 通过共产党收买资本大鳄
[1807.85-1809.41] 通过油管喷他
[1809.65-1810.97] 通过油管喷他
[1810.97-1813.01] 这他妈是精神病吗
[1813.21-1814.01] 对啊
[1814.65-1816.05] 这个网友接着说
[1816.05-1816.81] 我还没看完
[1816.81-1817.33] 正在听
[1817.33-1818.49] 还没看到这一段
[1818.53-1820.41] 没想到山炮水平如此低劣
[1820.41-1821.37] 老王不计前嫌
[1821.37-1821.93] 以德报怨
[1821.93-1823.01] 主动表达善意
[1823.05-1824.73] 没想到这个恶贼侥幸心理
[1824.73-1825.41] 坐井观天
[1825.41-1825.97] 继续作恶
[1825.97-1826.93] 以为躲起来
[1826.97-1828.53] 撒泼犯魂没有后果
[1828.53-1829.57] 真他妈的自作孽
[1829.57-1830.37] 不可活
[1831.21-1831.85] 没错
[1831.85-1833.73] 他就是以为大家找不着他
[1833.73-1834.33] 哎
[1834.85-1836.21] 展山我这画料子
[1836.21-1837.65] 你看看我们能找不着
[1837.65-1840.77] 讲讲丘林背后的资本运作
[1840.77-1841.97] 一个黄金理老板的故事
[1841.97-1843.05] 应该也蛮有趣的
[1843.09-1844.13] 抬头望见北极荒
[1844.13-1845.85] 李建新前因后果全会写的
[1845.85-1849.05] 其实老王很怀旧
[1851.27-1853.11] 老王和翟副主席的交集
[1853.11-1854.59] 是人生之中的高光时刻
[1854.59-1855.75] 老王再怎么骂翟
[1855.75-1856.43] 都是出于爱
[1856.43-1858.47] 而翟因为落魄而自卑
[1858.47-1859.95] 反而起了逆反心理
[1859.99-1861.31] 人的心理都是一样的
[1861.31-1862.43] 每个人的高光时刻
[1862.43-1863.55] 伴随的那一帮人
[1863.55-1864.95] 都是毕生难忘的
[1865.07-1867.31] 所以老王还是尽量引导翟副主席
[1867.31-1868.67] 人有过
[1868.71-1869.43] 人有过
[1869.43-1870.79] 高点
[1870.79-1872.51] 很难对低谷适应
[1872.55-1874.19] 小红鸟说老王进监狱了
[1874.19-1874.99] 离了个大谱
[1874.99-1876.63] 真正进监狱的是他自己
[1876.87-1879.03] 这个网友说的格局还是够的
[1879.43-1880.31] 你说的很对
[1880.31-1881.99] 就是人都有过高光时刻
[1882.11-1884.03] 也都要面对自己的低谷
[1884.59-1885.91] 跟他合作的那个时候
[1885.91-1887.39] 不是我人生最高光时刻
[1887.39-1889.43] 但是也是我人生高光时刻之一
[1889.47-1890.95] 能坐在王贵亚对面
[1890.95-1892.55] 跟王贵亚上课
[1892.55-1893.55] 指点江山
[1893.55-1895.19] 确实是高光时刻
[1895.19-1896.95] 王贵亚是建议国际董事长
[1898.07-1899.15] 我的副手派了几个
[1899.15-1899.39] 王贵亚
[1899.39-1900.27] 当副手
[1900.27-1902.03] 那不就是我跟建议国际董事长
[1902.03-1903.11] 是同一个level的
[1903.51-1905.83] 我的真是确实是高光时刻
[1905.87-1907.03] 确实是高光时刻
[1907.07-1908.83] 所以我很珍惜
[1908.83-1910.55] 当时我身边的每一个人
[1910.71-1911.63] 包括翟山英
[1911.63-1913.19] 所以我才对翟山英
[1913.55-1914.51] 老是网开一遍
[1914.51-1915.31] 老是网开一遍
[1915.31-1916.07] 明明有他地址
[1916.07-1917.91] 但是就是不把地址给
[1918.11-1919.59] 翟山英骗我300万
[1919.59-1920.39] 为什么呢
[1921.19-1922.83] 就是你说到我心里边去了
[1923.15-1925.59] 我不想跟他结心仇心怨
[1925.91-1927.19] 旧的都不是怨
[1927.19-1929.11] 旧的都是一些很不错的
[1929.11-1931.03] 波兰的回忆
[1931.07-1932.11] 谈不上美好的回忆
[1932.83-1934.63] 就是对翟山英谈不上美好的回忆
[1934.63-1935.99] 但是对于我那段人生
[1935.99-1937.11] 我是美好的回忆
[1938.07-1939.47] 所以我并不恨他
[1940.07-1941.07] 他起了
[1941.07-1942.23] 他因为落魄而自卑
[1942.23-1943.59] 起了自逆反心理的
[1943.59-1945.19] 我觉得你分析也有道理
[1945.35-1946.75] 至于他竟没进入过监狱
[1946.87-1948.15] 那是他自己心里的事
[1948.83-1951.35] 但是他现在心里显然不正不正常
[1951.35-1952.47] 他心里显然不健康
[1952.47-1954.95] 就是大家能看到他的那种反复
[1955.03-1957.39] 就是夸你时候夸成一朵花
[1957.39-1959.07] 骂一声骂成一坨屎
[1959.11-1961.87] 用得着你的时候像一条狗
[1961.91-1963.79] 用不着你的时候像一匹狼
[1963.83-1964.39] 这个是什么
[1964.39-1965.47] 这个是精神分裂
[1965.47-1967.71] 其实翟山英精神状态现在不稳定
[1967.95-1969.63] 他是个精神病
[1969.63-1970.71] 他真的是个精神病
[1970.79-1972.19] 你对他的定义
[1972.19-1973.59] 还是我觉得还是有道理的
[1973.59-1975.23] 网友对他的定义
[1975.23-1975.83] 还是有道理的
[1975.83-1976.67] 他是个病人
[1976.67-1978.31] 我们要用对病人的眼光
[1978.31-1978.75] 对他
[1978.91-1980.11] 如果他不是精神病
[1980.11-1981.35] 你解释不了他的行为
[1981.63-1983.15] 不喷宅了
[1983.15-1983.99] 喷了他半个小时
[1983.99-1985.11] 这是我最后一次喷宅
[1985.27-1986.87] 因为我的粉丝现在好多
[1986.91-1987.91] 一天涨1000
[1987.91-1989.03] 我得珍惜自己的语
[1989.03-1989.07] 吗
[1989.11-1989.67] 好
[1990.43-1991.15] 他甩屎
[1991.15-1992.07] 我这最后一次
[1992.35-1993.15] 往旁边甩
[1994.03-1995.07] 说缅北的事
[1996.67-1999.71] 缅北的出去以后报款
[1999.79-2000.91] 我也不知道为什么缅北
[2000.91-2001.83] 大家那么感兴趣
[2002.27-2004.39] 谷歌YouTube也在推
[2004.67-2006.23] 有一个人给我从这回复
[2006.87-2009.43] 老耿小舅子小雷和谁合作
[2009.71-2010.75] 一足宝的丁宁
[2010.75-2013.63] 为啥在果敢老白那当上副司令
[2013.75-2014.87] 东南亚联合银行
[2014.87-2016.31] 从国内卷走多少钱
[2016.47-2018.55] 对老耿和缅北朋友有啥影响
[2018.55-2019.03] 彭佳生
[2019.03-2020.95] 在景洪的4毛军分区
[2020.99-2022.71] 干修所的房子谁给安排的
[2022.75-2026.11] 其实中国对你缅北的战队支持力度
[2026.11-2027.35] 2009年前后
[2027.35-2028.83] 昂山素季上台以后
[2028.87-2029.75] 军政府政变
[2029.75-2031.23] 这4个阶段都不一样
[2031.23-2033.03] 大老王没什么核心消息
[2034.63-2036.35] 网友叫flameboyant
[2036.35-2038.07] 看来你还真知道点东西
[2038.67-2040.35] 我说两个字
[2040.35-2041.43] 你给我跪下道歉
[2041.63-2042.91] 如果你这两个字
[2043.75-2044.51] 听不懂
[2044.51-2045.51] 那你就滚蛋
[2045.75-2046.95] 你既然有核心消息
[2046.95-2048.79] 你说的这几个点都在关键点上
[2048.79-2050.59] 我相信你能听得懂这两个字
[2050.83-2051.99] 割叶
[2052.83-2053.83] 跪下道歉
[2054.63-2055.47] 说错了
[2055.47-2056.83] 我为什么不说透
[2057.67-2058.71] 加拿大不远
[2059.03-2059.55] 我操
[2059.55-2060.19] 我要活
[2060.43-2061.91] 你以为那些人是翟山英
[2062.35-2063.27] 你喷喷他玩玩
[2063.27-2064.27] 他无所谓的
[2065.47-2066.75] 听得懂这两个字
[2066.79-2068.75] 是我今天这期视频最核心
[2068.75-2070.31] 最浓缩的东西
[2070.43-2070.83] 我操
[2070.83-2072.39] 这个他妈比那飞机
[2072.39-2073.99] 那个级别都不低
[2073.99-2074.71] 我去
[2075.27-2076.51] 这货包
[2077.51-2078.47] 把我给弄
[2078.79-2079.63] 我弄嗨了
[2079.91-2080.99] 多说这么两个字
[2083.49-2084.73] 然后说缅北
[2084.77-2086.61] 然后说缅北的战事状态
[2086.61-2088.45] 不是大家在问我什么叫战事状态
[2088.45-2089.81] 老王能不能说说这样吗
[2089.85-2091.37] 我给你们读一段话
[2091.41-2093.97] 你们看看什么叫缅北的战事状态
[2094.01-2095.45] 到时候中国是一样的
[2095.49-2096.69] 一旦打起仗来
[2096.73-2097.77] 人命如草芥
[2097.77-2098.65] 就是这个意思
[2106.82-2109.30] 这是在缅北一线的网友
[2109.46-2111.74] 给我来的当地真实情况的简报
