[1.68-3.68] 哈喽 大家好 又见面了
[3.68-5.96] 本来想上午工作
[1266.74-1268.16] 我不是Chinese
[1268.16-1269.08] 那我是什么人
[1269.08-1271.54] 我是幽烟利亚
[1271.54-1274.54] 刘仲敬就是我是巴蜀利亚
[1274.54-1276.28] 我他妈曾经调戏过他
[1276.28-1279.08] 我说你妈巴蜀那个地方离利亚远了一点
[1279.08-1281.08] 你离斯坦比较近
[1281.08-1283.08] 你应该叫巴基斯坦巴蜀斯坦
[1283.08-1284.74] 阿富汗斯坦巴蜀斯坦
[1284.74-1285.62] 你们都挨着
[1285.62-1287.42] 你怎么不叫巴蜀斯坦呢
[1287.42-1289.38] 因为叫斯坦丢人啊
[1289.38-1291.24] 叫斯坦都他妈落后嘛
[1291.24-1293.04] 还弄个巴蜀利亚
[1294.46-1295.88] 那我幽烟这块
[1295.88-1297.66] 我烟国我烟利啊
[1297.66-1299.08] 烟你个屁
[1299.08-1299.74] 我操你
[1299.74-1301.88] 都是一样的人
[1301.88-1306.46] 所以实际上大洪水学刘阿姨医学
[1306.46-1308.68] 它是一个歪理邪说
[1308.68-1311.72] 当然不能说它纯是歪理邪说
[1311.72-1314.64] 但是它亮给你们这一片
[1314.64-1316.30] 这一部分真的是歪理邪说
[1317.60-1319.38] 天下大势何久必分分久必合
[1319.38-1320.98] 这话一点没错
[1320.98-1324.26] 但是中国共产党万一有一天它真的下台了
[1324.26-1325.84] 它是内部分裂了
[1325.84-1329.52] 还是列强组织会议把它肢解了
[1329.52-1336.94] 还是美国挺着国民党枪逼着国民党和民进党过来做接收大员了
[1336.94-1337.76] 都有可能
[1337.76-1338.68] 这是由当时的
[1338.68-1343.52] 彼时的国际地缘政治局势决定
[1344.80-1348.30] 而不是以你们的这个民族发明的主观意识决定的
[1348.30-1349.06] 换句话说
[1349.06-1351.76] 不是以台面上你们这些人决定了
[1351.76-1354.26] 说句不好听的让老王一句话给你点破
[1354.26-1356.80] 刘阿姨的这个真身吧
[1356.80-1359.06] 就是你们这帮傻逼都是他妈韭菜
[1359.06-1359.84] 你们也配
[1360.84-1363.06] 发明民族是你们干的吗
[1363.06-1364.64] 你们杀过人吗
[1364.64-1366.60] 你们结果结果到吗
[1366.60-1368.10] 你们他妈手里边有一百
[1368.10-1368.64] 有一百个人
[1368.68-1369.34] 有个土匪吗
[1369.34-1371.64] 没有你们配吗
[1371.64-1373.06] 不要想那么多了
[1373.06-1377.26] 手无缚鸡之力的一个知识分子
[1377.26-1379.00] 你们还想当总统
[1379.00-1380.66] 望之不似人君
[1381.84-1382.50] 所以
[1383.76-1385.80] 大家清醒一下
[1385.80-1388.38] 刘阿姨给你做的这些民族发明学啊
[1388.38-1390.30] 他是双刃剑啊
[1390.30-1391.80] 民族发明往前发明
[1391.80-1392.72] 就是你们想的那样
[1392.72-1394.20] 就是哥格丽亚就出来了
[1394.20-1396.66] 哎呦就是那个中国什么分裂什么
[1396.66-1398.08] 哎呦各种就出来了
[1398.08-1399.08] 真正我告诉你真正中国分裂一点儿未来就出来了
[1399.08-1399.94] 真正中国分裂一点儿未来就出来了
[1399.96-1400.46] 问题都没有
[1400.46-1402.54] 只有吐蕃就是西藏
[1402.54-1404.04] 维吾尔
[1404.04-1405.92] 呃蒙古
[1405.92-1407.08] 这几个没有问题
[1407.08-1408.76] 剩下的全是问题
[1408.76-1411.88] 就是分分的过程一定会流血的
[1411.88-1414.50] 因为都长到一起了
[1414.50-1419.42] 那为什么说他可以反向推递推呢
[1419.42-1420.80] 两个反向
[1420.80-1422.88] 一个是他会有一个问题
[1422.88-1425.08] 就是你按照这个民族发明学弄下去之后
[1425.08-1426.84] 你停不下来
[1426.84-1428.58] 你想想是不是停不下来
[1428.58-1432.42] 讲蒋万安和赖清德
[1432.42-1434.46] 他们也要做一次民族发明学
[1435.58-1442.50] 就是蒋万安和吕修莲两个民族完全可以发明成两个民族
[1443.74-1445.74] 赖清德吕修莲是一个民族
[1445.74-1449.21] 蒋万安是一个民族
[1449.21-1452.81] 你是49年从中国来的中国人
[1452.81-1455.23] 我是在地的台湾人
[1455.23-1457.39] 我是讲闽南话台语的
[1457.39-1459.29] 你是讲国语的好了
[1459.29-1459.87] 每个人
[1459.89-1461.69] 发明一个字母表
[1461.69-1462.45] 做文字
[1462.45-1463.47] 两个国家出现了
[1463.47-1464.25] 完了
[1464.25-1464.75] 没完
[1464.75-1465.27] 为什么
[1465.27-1468.09] 往下无法停止
[1468.09-1472.17] 吕修莲和赖清德也产生了矛盾
[1472.17-1476.01] 因为台湾也有五六代三四代之前的
[1476.01-1480.89] 福建移民讲闽南话讲台语
[1480.89-1482.67] 和在地的
[1482.67-1484.47] 阿里山的山民
[1484.47-1486.77] 德塞克巴莱的
[1486.77-1488.57] 这个种族
[1488.57-1489.85] 你是不是又要发明了
[1489.89-1493.21] 然后德塞克巴莱要完了
[1493.21-1495.53] 因为山地部落之间的矛盾
[1495.53-1498.59] 自古以来就像德国和法国之前无法解决
[1498.59-1500.13] 他们打了一千年
[1500.13-1501.93] 你杀我我杀你
[1501.93-1505.25] 他们之间说的话也不一样
[1505.25-1508.33] 那你这他妈的最后就没完
[1508.33-1509.09] 停不住啊
[1509.09-1510.37] 刹不住车你这个独立啊
[1510.37-1511.39] 那
[1511.39-1513.69] 对不对你这么玩的话
[1513.69-1516.77] 德国是不是也可以分裂啊
[1516.77-1518.81] 美国当然更可以分裂了
[1518.81-1519.85] 美国可以发明出
[1519.85-1520.87] 无数个民族来
[1520.87-1522.41] 日本也可以分裂啊
[1522.41-1523.69] 日本也不是铁桶一块
[1523.69-1525.23] 谁说日本是单一民族的
[1525.23-1527.01] 日本人种都不一样
[1527.01-1528.81] 北方南方长得都不一样
[1528.81-1530.85] DNA基因都有差异
[1530.85-1532.13] 所以这个东西啊
[1532.13-1536.23] 适可而止你快行行吧
[1536.23-1537.51] 别急吧疯了
[1537.51-1540.59] 生了一群神经病院院长带着一群神经病
[1540.59-1543.91] 孩子都想在那当总统
[1543.91-1546.21] 那边就是那边也是一帮疯子
[1546.21-1547.25] 这两边都是疯子
[1547.25-1549.29] 那边是这个
[1549.29-1550.57] 指明方向
[1550.57-1553.13] 中国自古以来就这么强大
[1553.13-1554.67] 自古以来就这么强大
[1554.67-1555.43] 自多股
[1555.43-1558.25] 你想有多股就有多股
[1558.25-1559.27] 要不要考古证据
[1559.27-1560.29] 不需要
[1560.29-1562.85] 考古证据我现编
[1562.85-1564.91] 挖出来的三星堆对自己有不利
[1564.91-1565.93] 埋上
[1565.93-1566.95] 不挖了
[1566.95-1567.97] 为什么
[1567.97-1570.03] 挖太多了
[1570.03-1571.05] 说不过去了
[1571.05-1572.59] 没有五千年了
[1572.59-1575.15] 不挖不挖
[1575.15-1576.93] 但是习近平会信啊
[1576.93-1579.25] 习近平总书记真的会信的
[1579.29-1582.37] 他会印出课本来让所有的小朋友们都相信
[1582.37-1586.21] 中华文明上下五千年中间没有断过
[1586.21-1590.05] 是世界四大文明古国中唯一没有断过的
[1590.05-1593.37] 一派胡言断过多少次啊
[1593.37-1596.19] 都连不上了断的
[1596.19-1600.79] 一地的佛珠都串不起来了断成这造型了
[1600.79-1604.37] 怎么着其实大家好好过日子
[1604.37-1608.21] 这些人既然已经成一个国家了大家就别闹他了
[1608.21-1609.25] 只要能找到一个好人
[1609.25-1610.53] 一个好的制度
[1610.53-1611.81] 能找到
[1611.81-1615.65] 能达到经济往来的就是赚钱做生意的
[1615.65-1616.93] 效率最大化
[1616.93-1618.47] 就是好的制度
[1618.47-1621.29] 老百姓能够安居乐业就是好的制度
[1621.29-1623.07] 其他的都是当权者
[1623.07-1625.63] 和野心家之间政治斗争的工具
[1625.63-1628.97] 我们一定要反思自己提高自己的智能
[1628.97-1633.05] 提高自己对历史对宗教的反思能力
[1633.05-1638.95] 通过回忆反思自己的人生自己家族的历史推而广之以小盖大
[1638.95-1640.49] 提高自己这话一点不虚
[1640.49-1641.77] 提高了自己之后别人
[1641.77-1643.31] 第一别人骗不了你的钱
[1643.31-1645.35] 第二别人骗不了你的身子
[1645.35-1648.43] 第三别人骗不了你儿子去当兵当炮灰
[1648.43-1649.19] 对不对
[1649.19-1651.75] 那什么时候能该拿起枪来拼命
[1651.75-1653.55] 什么时候绝不拿枪拼命
[1653.55-1655.33] 你心里边就清楚了
[1655.33-1656.11] 对不对
[1656.11-1661.23] 如果要弄一个他妈做成字母文字讲台语的台湾独立
[1661.23-1663.01] 台湾弟兄们你们要拿枪拼命
[1663.01-1664.29] 你们这是傻逼
[1664.29-1666.09] 但是老共说
[1666.09-1667.87] 要把你们变成
[1667.87-1668.91] 特区首长
[1668.95-1670.23] 要来了
[1670.23-1671.25] 要这样统一台湾
[1671.25-1672.79] 你们必须拿起枪拼命
[1672.79-1674.83] 要不然你们的孩子就完蛋了
[1674.83-1676.37] 要么拼命要么论
[1676.37-1677.39] 如果论不了
[1677.39-1679.19] 大家就拼一把
[1679.19-1680.21] 我不是曹兴诚
[1680.21-1683.55] 但如果我是曹兴诚我会干这个事
[1683.55-1685.33] 那就组织民兵呗
[1685.33-1687.63] 干啥呀别扯那么多了
[1687.63-1689.95] 买枪买导弹呗
[1689.95-1691.73] 干吧
[1691.73-1695.57] 压感过来咱就跟他们干呗
[1695.57-1696.85] 他没那么强大
[1696.85-1697.63] 因为
[1697.63-1698.91] 我爹当了几十年
[1698.95-1699.97] 十年的解放军
[1699.97-1701.25] 解放军的实际战斗力
[1701.25-1703.55] 刘阿姨说的很精确
[1703.55-1705.61] 那个时代大炮兵主义是最高的
[1705.61-1707.91] 就是60年代解放军战斗力是最高
[1707.91-1711.49] 他把苏联的重工业整个copy过来了
[1711.49-1714.05] 现在到底高不高
[1714.05-1717.13] 解放军现在的渡海跨海
[1717.13-1718.15] 作战能力
[1718.15-1719.43] 是
[1719.43-1720.97] 普朗克状态
[1720.97-1721.99] 就是
[1721.99-1723.27] 你不能观测
[1723.27-1724.81] 因为你也没有机会观测
[1724.81-1726.85] 因为他没打过仗
[1726.85-1728.13] 他吹的
[1728.13-1728.91] 是急
[1728.95-1729.97] 极其是高
[1729.97-1733.31] 那简直就是那福特级航母算个屁
[1733.31-1734.83] 你蒸汽弹射out了
[1734.83-1736.11] 我这全是
[1736.11-1738.67] 直流电磁弹射
[1738.67-1739.45] 真的吗
[1739.45-1740.21] 能用吗
[1740.21-1742.27] 这个是普朗克
[1742.27-1743.79] 不能观测啊
[1743.79-1745.85] 观测的话就会有人进去
[1745.85-1747.13] 就会有人抓起来
[1747.13-1747.89] 所以不能观测
[1747.89-1750.45] 所以这个鸡巴渡海能力吧
[1750.45-1751.73] 关上门来说
[1751.73-1753.79] 就是吓唬你
[1753.79-1755.31] 咱们北方有句话
[1755.31-1756.09] 东北有句话
[1756.09-1758.91] 俗话叫拎着大鸡巴吓唬小姑娘
[1758.95-1760.99] 就是如果要是个老娘们
[1760.99-1764.07] 就跑了就落荒而逃了
[1764.07-1764.83] 所以呢
[1764.83-1768.17] 你真的有枪有导弹
[1768.17-1769.45] 他就跑了
[1769.45-1770.47] 因为你
[1770.47-1772.01] 你是老娘们
[1772.01-1775.33] 你是大寡妇,马寡妇,很壮啊
[1775.33-1778.91] 他就不拎着出来了,拎出来之后他不是你对手
[1778.91-1781.73] 如果你真是个小姑娘,哎呀好羞羞
[1781.73-1783.01] 看这是什么
[1783.01-1783.79] 哎呦操
[1783.79-1786.35] 这不就是共产党
[1786.35-1787.37] 这就是共产党啊
[1787.37-1788.91] 这就是共产党在对付台湾的
[1788.95-1790.23] 方式啊
[1790.23-1790.99] 然后
[1790.99-1795.35] 马英九就说,哎呀他好大呀,哎呦好大呀
[1795.35-1798.17] 在我身上用了18次,每次我都死去活来
[1798.17-1800.99] 我每次都在医院肛肠科出来的
[1800.99-1803.79] 大家不要试了,这是马英九
[1803.79-1804.83] 所以
[1804.83-1806.61] 马英九说的是真的是假的
[1806.61-1808.15] 大家用脑子想一想
[1808.15-1809.95] 自会有答案
[1809.95-1815.31] 因为你们没见过大陆,你们没吃过猪肉,你们还没见过猪跑吗,你们没见过国民党吗
[1815.31-1816.85] 腐败是中国人的天性
[1816.85-1817.87] 你们就看看
[1817.87-1818.91] 他们有多腐败
[1818.95-1822.79] 当他们想干一件事的时候,干得成干不成
[1822.79-1825.87] 那个系统里边有多少跑冒滴漏的点
[1825.87-1832.01] 那你们推一几万嘛,有小之大嘛,你自然就知道
[1832.01-1834.05] 海峡对岸发生了什么
[1834.05-1836.61] 真的要跟你们PK的话,那就是比烂
[1836.61-1837.89] 看谁更烂一点
[1837.89-1839.95] 龟兔赛跑
[1839.95-1842.75] 乌龟为什么赢了,因为兔子睡着了
[1842.75-1845.83] 他是这样去统一台湾的,武统台湾的
[1845.83-1848.39] 他可不是有武德的
[1848.39-1854.53] 康熙大帝,八旗还能打的状态,你知道吧,不要那么害怕
[1854.53-1856.07] 那边不要那么害怕
[1856.07-1857.87] 你说这场仗打不打
[1857.87-1860.93] 那还是我要坚持我的一贯家人叔叔,这场仗
[1860.93-1864.77] 跑是跑不了的,躲是躲不了的,还是要打的
[1864.77-1867.33] 但是打的结果很可能很荒唐
[1867.33-1873.23] 如果普京打乌克兰就够荒唐了,哎呀,冻土要融化了,他坦克大军去了
[1873.23-1877.07] 然后就一路丢盔卸甲,又从吉普跑回去
[1877.07-1880.15] 就这么荒唐的一场战争啊,然后他的那个厨子
[1880.15-1883.99] 带着私人军队又奔着莫斯科去了,走到一半又不见了
[1883.99-1886.29] 人就死在半路上,飞机掉下来
[1886.29-1891.41] 这些东西就是潦草而荒唐的民族,他们不是个正经的民族
[1891.41-1896.79] 中国跟他们比还不行,就是俄罗斯的地板是中国的天花板
[1896.79-1901.91] 所以海峡两岸都是这样,台湾人不要沾沾自喜,你们也是中国人
[1901.91-1906.25] 你们也很low,所以这样的话呢,其实大家都不要有太有偶像包袱
[1906.25-1909.07] 你们可能看不到那个壮观的
[1909.07-1913.17] 好莱坞特效的那种高科技大战,没有
[1913.17-1914.19] 你们想多了
[1914.19-1917.01] 你们将看到的是一次潦草的高科技大战
[1917.01-1920.59] 充满了这个山寨特色的
[1920.59-1926.21] 高科技大战,大战过程中喊声要比杀声大
[1926.21-1929.55] 哎,我怎么扯打台湾去了,咱不是
[1929.55-1930.57] 批判这个
[1930.57-1932.61] 潦草的中国人吗,对不对
[1932.61-1935.95] 咱们就收一收啊,又40分钟了,咱们差不多该收尾了
[1936.25-1938.29] 好好的把自己的书读一读
[1938.29-1941.63] 好好的把他妈自己的个人修养提升提升
[1941.63-1945.21] 别信那些什么总统啊,跟你没关系
[1945.21-1947.25] 你在这里面就是个
[1947.25-1948.79] 看那个陈晋南
[1948.79-1950.59] 天地会里面对伪小宝
[1950.59-1951.61] 小宝说
[1951.61-1953.15] 啊,我明白了
[1953.15-1957.75] 都懂啊,就是打子抢了我们的女人和钱,我们把她抢回来
[1957.75-1958.53] 对了
[1958.53-1960.05] 这就是
[1960.05-1961.85] 事实的真相
[1961.85-1964.67] 刘仲敬的医学
[1964.67-1965.43] 和
[1965.43-1966.21] 习主席的
[1966.21-1969.29] 中华民族伟大统一论
[1969.29-1971.59] 都是陈晋南的
[1971.59-1974.91] 给外边那群傻逼讲的
[1974.91-1976.19] 大道理
[1976.19-1978.49] 反清复明
[1978.49-1979.77] 都是一样的
[1979.77-1983.61] 你,反清复明,反清复明,反清复明,就是傻逼啊,就是
[1983.61-1985.41] 不要以为习主席下面那个
[1985.41-1987.45] 啊,我的祖国,那是傻逼
[1987.45-1988.73] 你那个
[1988.73-1993.61] 巴蜀利亚,你以为也一样,巴蜀利亚,巴蜀利亚一样的啊
[1993.61-1996.17] 刘阿姨今天自己都承认了
[1996.21-2001.85] 民族发明只不过是在台上的有权力的人
[2001.85-2005.69] 不愿意下去,而下面有野心的人想上去
[2005.69-2008.49] 发明出来的这样一个方便法门
[2008.49-2010.55] 急用工具
[2010.55-2011.83] 今天他自己做的
[2011.83-2014.39] 看刘仲敬平常自己说的
[2014.39-2016.17] 知道你们这帮傻逼也听不懂
[2016.17-2018.23] 我就给你们做一个500
[2018.23-2020.01] 圣经500句
[2020.01-2021.29] 话术答案给你们
[2021.29-2024.11] 所以你们就把这500个题背住吧
[2024.11-2025.39] 你从小背,从小背,从小背
[2025.39-2028.47] 长大了背不住哪一天你能用上
[2028.47-2030.77] 哎呀,这个世界怎么了
[2030.77-2032.81] 因为得匹下嘛
[2032.81-2035.89] 因为真正能看明白历史的
[2035.89-2039.73] 能做我们师父的,像刘阿姨这样的道行的人
[2039.73-2043.57] 他不讲实话呀,他不讲实话,他想当总统啊
[2043.57-2045.11] 他就开始告诉你
[2045.11-2051.51] 巴蜀利亚500问了,他就开始给你编这种题了,然后骗什么陈奕红啊,什么这个什么
[2051.51-2055.09] 呃,台湾的那些大粉丝
[2055.39-2057.43] 一群台湾小迷你,都是一样的吧
[2057.43-2058.47] 自恨了吧
[2058.47-2062.05] 呃,他那些台湾精神病病院的患者们
[2062.05-2066.39] 自恨行你人格有曲症晚期的这些患者们就是
[2066.39-2070.49] 都在不断的重复刘阿姨的这个问答
[2070.49-2072.79] 整个世界变成了这个样子
[2072.79-2074.33] 那我操这个
[2074.33-2075.61] 这地球能不崩溃吗
[2075.61-2077.41] 所以这个,哎哟,我又开始
[2077.41-2080.73] 忧心天下了,所以大家多看老王频道啊
[2080.73-2085.09] 多点赞,多订阅,多传播,老王虽然看起来是流氓不正经
[2085.39-2088.21] 我说的真的都是真知灼见,而且我没有目的哦
[2088.21-2089.75] 我不想骗你们身子
[2089.75-2091.79] 也不想骗你们的钱
[2091.79-2093.59] 我就想
[2093.59-2098.45] 就想得到一下我的马斯洛层次很简单的成就感,然后跟大家聊聊天
[2098.45-2101.51] 弥补一下我的退休的无聊生活
[2101.51-2104.59] 大家多看看,然后就当个笑话听
[2104.59-2107.91] 听完了之后呢,有触动的地方反思反思
[2107.91-2112.79] 然后有机会跟自己的孩子讲讲过去的中国和世界的真相
[2112.79-2115.35] 别一个一个的都变成
[2115.35-2119.95] 哎呀,都变成得匹下的状态
[2119.95-2121.23] 有利于
[2121.23-2123.03] 地球未来的生为
[2123.03-2125.59] 翟山英说
[2125.59-2127.39] 他我要蹭蹭了,翟山英说
[2127.39-2128.67] 蔡奇派人
[2128.67-2131.23] 要不是不惜前嫌
[2131.23-2132.75] 要请他回国
[2132.75-2137.11] 当国务院的大内秘探008超级内参
[2137.11-2141.97] 在翟山英的管理下拯救中国的经济,因为习近平已经完全没有办法了
[2141.97-2145.31] 虽然翟山英天天在频道里面直接指名道姓马
[2145.35-2146.37] 习近平这个大傻逼
[2146.37-2149.45] 骂了一年半,但是习近平不计前嫌
[2149.45-2150.21] 习近平
[2150.21-2152.51] 总书记非常的宽容,请蔡奇
[2152.51-2154.57] 请他回去,翟山英拒绝了
[2154.57-2157.63] 其实大家不知道
[2157.63-2159.69] 前几天
[2159.69-2161.47] 我脱更了一天
[2161.47-2163.01] 实际上是因为
[2163.01-2165.57] 银河系联邦政府
[2165.57-2167.87] 派来一架飞碟落在我们家院里
[2167.87-2169.67] 银河系议会联盟
[2169.67-2172.99] 请我去银河系作为地球生为代表
[2172.99-2175.05] 管理整个地球
[2175.35-2176.63] 第七宇宙
[2176.63-2177.91] 我拒绝了
[2177.91-2179.95] 因为我觉得自己德不配位
[2179.95-2181.49] 老王
[2181.49-2186.87] 他们说的你们信,为什么我说这个你们不信
[2186.87-2187.63] 识破我
[2187.63-2189.43] 就能识破他们所有的东西
[2189.43-2190.45] 所以呢
[2190.45-2191.73] 我们就是退休老头
[2191.73-2194.03] 既没有宇宙联盟来找过我
[2194.03-2196.35] 我也没见过飞碟
[2196.35-2198.39] 我承认我是满嘴跑火车的
[2198.39-2201.71] 所以大家继续跟老王一起跑火车,识破
[2201.71-2203.51] 跑火车这帮孙子的骗局
[2203.51-2204.03] 好吧
[2204.03-2205.05] 再见啊,再见
[2205.05-2207.09] 点赞订阅小铃铛
[2207.09-2207.87] 多笑几声
[2207.91-2208.43] 拜拜
