[0.00-0.68] 大家好
[1146.32-1147.20] 你也非常幸运
[1147.20-1147.24] 你也非常幸运
[1147.24-1149.28] 加拿大的福利
[1150.84-1151.92] 我给你解释个例子
[1153.80-1155.72] 人为什么很难改变自己
[1156.16-1157.52] 你看地球
[1158.36-1159.16] 月亮
[1159.44-1160.20] 太阳
[1160.56-1162.56] 每个都有自己的轨道
[1162.68-1165.04] 严格的按照自己的轨道运作
[1165.04-1168.32] 地球上才能吸收太阳的能量
[1168.32-1169.48] 月球的精华
[1169.48-1171.00] 才能运于万物
[1171.28-1173.48] 这个距离既不能远
[1173.52-1174.60] 也不能近
[1175.60-1177.20] 地球和太阳必须保持
[1177.20-1178.32] 合适的距离
[1178.32-1179.80] 人也是一样
[1179.80-1182.96] 一个人能够成功也好
[1182.96-1184.68] 能够发展也好
[1184.68-1187.56] 都是因为他有了一定人生轨道
[1187.56-1189.84] 所以一旦有了轨道
[1189.84-1191.56] 你让他摆脱他的轨道
[1191.56-1192.76] 就极其之痛苦
[1192.76-1194.24] 作为一个凡人来说
[1194.24-1195.68] 没有重大的打击
[1195.68-1197.36] 没有巨大的摧残
[1197.36-1198.76] 像得了一场大病
[1199.12-1200.16] 牢狱之灾
[1200.48-1202.72] 他才能改变他的人生轨道
[1202.72-1204.20] 改变了人生轨道之后
[1204.20-1205.60] 会变得非常的痛苦
[1205.60-1207.16] 你意识到这一切
[1207.16-1209.84] 你意识到摆脱到轨道之后
[1209.84-1211.00] 你一定忘掉
[1211.00-1212.96] 你原来轨道中的东西
[1213.16-1215.56] 当成你再次投胎的一次
[1215.80-1217.04] 你就赚大了
[1217.08-1218.40] 你所有的负面包袱
[1218.40-1219.76] 就全部都甩掉了
[1220.28-1220.80] 翟山英
[1220.80-1221.64] 你要看我的视频
[1221.64-1222.28] 这一段话
[1222.28-1225.20] 对你的人生是最大的帮助
[1225.40-1226.24] 你不要想着
[1226.24-1227.64] 你在国内的那些成就
[1227.64-1228.20] 那些资产
[1228.20-1229.32] 你要把它忘掉
[1229.36-1230.68] 你当你已经死了
[1230.72-1232.32] 然后你在迪拜又投胎了
[1232.32-1233.28] 重新做人了
[1233.28-1234.88] 你马上就快乐起来了
[1234.92-1236.48] 因为你用一生的时间
[1236.48-1236.96] 活别人
[1236.96-1237.84] 两生的命运
[1237.84-1239.44] 这是你多大的福报
[1239.64-1241.20] 所以你到了加拿大之后
[1241.20-1241.92] 你不要想着
[1241.92-1243.64] 你在中国还做过什么老板
[1243.76-1245.00] 做过什么领班
[1245.12-1245.52] 经理
[1245.64-1246.64] 这些全忘掉
[1246.92-1248.36] 你就是怎么踏实
[1248.36-1249.00] 怎么来
[1249.16-1250.40] 怎么赚钱容易
[1250.40-1251.08] 怎么来
[1251.08-1253.04] 加拿大需要大量的技工
[1253.08-1254.36] 你如果喜欢动手
[1254.36-1255.24] 是个难事
[1255.28-1256.76] 你可以选择一个技工
[1256.92-1258.80] 加拿大有的是帮助习近平
[1258.80-1260.12] 选择技工的组织
[1260.72-1261.80] 电工水管工
[1261.80-1262.64] 任何一个
[1262.68-1264.48] 你选择了衣食无忧
[1264.52-1265.56] 生活幸福
[1265.60-1266.92] 每年两个月的休假
[1266.96-1268.52] 你一个人干活养全家
[1268.68-1270.56] 你如果不愿意做技工的话
[1270.60-1272.16] 你可以开一个小公司
[1272.20-1274.20] 你就做移民中介就行了
[1274.20-1275.24] 你不要骗大家
[1275.24-1276.40] 你就实话实说
[1276.44-1277.76] 有大量的人
[1277.80-1280.12] 想从中国移民到加拿大
[1280.16-1281.92] 其实非常便宜
[1281.92-1283.24] 路非常简单
[1283.28-1284.36] 但是卡在这儿
[1284.36-1286.20] 中国的这些移民黑中介
[1286.20-1287.44] 宰人家骗人家
[1287.48-1289.00] 10倍的要人家的钱
[1289.08-1291.32] 你通过你自己移民的这些
[1291.36-1292.16] 心路历程
[1292.16-1294.96] 帮着中国的老乡们移民过来
[1296.20-1296.84] 合理的
[1296.84-1298.00] 收取他们一些费用
[1298.04-1300.64] 一年赚个5万8万的加币
[1300.68-1302.44] 你这东西也是在行福报
[1303.24-1304.24] 这是我的一点建议
[1304.60-1306.68] 因为我看到一些做移民中介的
[1306.68-1307.88] 没有一个做不下去的
[1307.92-1309.68] 现在都生意火爆忙不过来
[1309.68-1311.44] 刚刚开始一年两年
[1311.48-1313.40] 就做了生意火都忙不过来
[1313.44-1315.40] Terry老王哥哥您好
[1315.44-1317.60] 我是在推特上刷您的推
[1317.64-1319.80] 看到您的头像很好看
[1319.84-1322.04] 很少有简中圈的男的头像
[1322.04-1322.88] 很撒爽
[1322.88-1324.44] 让我觉得很有艺术感
[1324.44-1325.64] 他说你要是女的就好了
[1325.64-1326.72] 我不是同性恋
[1326.84-1328.24] 可惜
[1328.28-1330.88] 简单刷了一下您的推文后
[1330.88-1334.56] 发现您去酒吧裸体奶子服务员推文所吸引
[1334.60-1335.80] 觉得您很性情
[1335.80-1337.88] 同时在推特上还能看到福利
[1337.92-1339.24] 又发现您和翟副主席
[1339.24-1340.76] 还有不为人知的过往
[1340.76-1341.96] 在开了流污管后
[1341.96-1343.52] 果断成为您的铁粉
[1343.56-1345.92] 简单介绍一下我自己88年生意
[1345.96-1346.52] 生人
[1346.52-1347.76] 波音主持专业
[1347.80-1350.64] 父母三线建设国企退休小领导
[1350.68-1353.08] 他们暂时不需要我照顾已婚
[1353.12-1354.28] 有个除了不会做饭
[1354.28-1355.60] 一切都很贤惠的妻子
[1355.60-1356.60] 不会做饭
[1356.60-1357.44] 不是问题
[1357.48-1358.20] 是在中国
[1358.24-1359.08] 又不是在加拿大
[1359.08-1359.60] 在加拿大
[1359.60-1361.32] 你们俩肯定都学会做饭了
[1361.36-1364.24] 和一个4岁的聪明女儿真幸福
[1364.76-1366.68] 这小女儿小年儿
[1366.72-1367.80] 千万别打女儿
[1367.96-1369.76] 跟你女儿跟你老婆也说
[1369.80-1371.20] 像你们家这种家庭
[1371.20-1372.20] 你们什么不问干
[1372.20-1373.40] 这一辈子也够了
[1373.84-1375.64] 女儿快快乐乐就行了
[1375.68-1377.24] 千万别因为哪个东西
[1377.24-1377.96] 九九重发表
[1377.96-1379.44] 背不回大耳瓜子
[1379.44-1380.00] 搂孩子
[1380.52-1381.80] 女儿不能打的
[1382.32-1384.28] 我曾工作于广电系统
[1384.28-1386.56] 做过三个地基室的电视台主持
[1386.56-1387.08] 人
[1387.08-1388.56] 在竞争副主任的时候
[1388.56-1389.84] 我的竞争对手发大招
[1389.84-1391.04] 她是女的局长是男的
[1391.04-1392.40] 结果您就知道了
[1392.44-1393.56] 专业技能和素质
[1393.56-1394.44] 虽然我更好
[1394.44-1395.56] 但是我输给了B
[1395.56-1396.44] 我不服
[1396.48-1398.08] 所以然后就巴拉巴拉
[1398.08-1400.36] 讲她的这个挺惨的
[1400.56-1401.44] 她也挺惨的
[1402.84-1404.20] 涉及到隐私我就不念了
[1404.88-1406.68] 我自己是无所谓了
[1406.68-1407.48] 几乎摆烂了
[1407.48-1408.56] 没有人生目标了
[1408.56-1409.84] 我不想我的孩子跟我一样
[1409.84-1411.36] 没追求或者乱追求
[1411.40-1412.36] 我很呵护他
[1412.36-1413.36] 从幼儿园一开始
[1413.36-1414.84] 都不敢让他随便去上
[1415.00-1416.40] 我把我所在的地基室
[1416.40-1417.72] 所有的幼儿园都考察完了
[1417.72-1418.60] 快4岁了
[1418.60-1420.04] 才选了一个好幼儿园
[1420.20-1421.68] 得出的结论是找私立的
[1421.68-1423.36] 老板人品最好的地方小
[1423.36-1424.68] 所以人都能认识
[1424.84-1425.96] 我每天接送他
[1425.96-1427.12] 家里两个女人吃的
[1427.12-1428.28] 几乎都是我亲手做的
[1428.28-1429.84] 真是个好爸爸好丈夫
[1430.72-1431.68] 会做饭的男人
[1431.68-1432.64] 都是极品好男人
[1432.64-1433.60] 你还好色
[1433.80-1436.04] 你还看我奶子小杯子
[1436.04-1438.04] 说不定你床上活也很好
[1438.08-1439.52] 你老婆真是幸福
[1440.00-1441.44] 我自己赚的钱
[1441.48-1442.84] 只是买了车的钱
[1442.84-1443.72] 您别笑话我
[1443.72-1444.60] 我也做过生意
[1444.60-1445.20] 没赔死
[1445.20-1446.36] 真的很努力
[1446.36-1446.84] 了
[1446.84-1448.20] 我只能赚点小钱
[1448.20-1449.52] 没赚大钱的能力
[1449.56-1451.44] 但是我不知道吃苦是为了什么
[1451.44-1452.96] 我也不知道你这长信
[1452.96-1454.80] 你想跟我得的什么
[1455.16-1456.24] 你得的
[1456.28-1457.24] 你没问我问题
[1457.60-1458.88] 王主席问了
[1458.92-1459.72] 我这样的情况
[1459.72-1461.52] 是来加拿大做护工吗
[1461.56-1463.04] 您可以想什么说什么
[1463.04-1464.40] 我不需要您对我负责
[1464.76-1466.00] 我觉得你这情况
[1466.00-1467.16] 你不适合来
[1467.16-1467.52] 为什么
[1468.44-1469.76] 因为你很幸福
[1469.92-1471.72] 你爸爸妈妈是国企的小领导
[1471.72-1472.84] 虽然是三线
[1473.08-1473.92] 建设企业的
[1473.92-1475.84] 估计是什么绵羊
[1476.36-1480.20] 重庆周围的这些三线企业的贵州的
[1480.48-1481.76] 你也很幸福
[1481.76-1484.00] 而且那个地方大风吹也波及不到
[1484.00-1484.52] 你们
[1485.80-1486.64] 你多幸福
[1486.92-1487.92] 你的花销也不大
[1487.92-1489.60] 如果你在三线地基市的话
[1489.76-1491.04] 你们家很幸福
[1491.04-1492.76] 虽然赚的钱也不太多
[1492.76-1494.08] 但是也足够了
[1494.08-1494.84] 也足够了
[1494.84-1496.32] 你还有自己的别墅
[1496.44-1498.44] 有跑车
[1498.44-1499.16] 买菜车
[1499.60-1500.52] 你还折腾个啥
[1500.52-1501.84] 你来加拿大干啥
[1501.84-1502.44] 你浪的
[1503.04-1504.80] 不是每个人都要润的
[1504.80-1506.32] 你别听他们胡说八道的
[1506.36-1509.64] 我不信大洪水能死五六亿人
[1510.48-1512.20] 毕竟是文明社会了
[1512.72-1513.76] 真的死五六亿人
[1513.76-1515.32] 之前也会有各种的迹象
[1515.32-1518.04] 绝对不会像拉电灯开关一样
[1518.04-1520.44] 一分钟之前还云淡风轻
[1520.44-1521.80] 一分钟之后洪水来了
[1522.16-1522.64] 折旦
[1522.64-1524.48] 我不相信
[1524.48-1527.12] 所以我不建议你来加拿大做护工
[1527.12-1528.04] 你这种情况
[1528.04-1529.88] 来加拿大做护工
[1529.88-1531.16] 你受不了
[1531.16-1532.60] 你在那衣食无忧
[1532.60-1533.48] 整天做饭
[1533.48-1534.76] 带小孩多快乐
[1534.92-1535.92] 我都羡慕你
[1535.92-1536.32] 我说
[1536.36-1537.68] 如果老家在绵羊
[1537.68-1539.36] 那样是山清水秀的地方
[1539.36-1541.16] 还有天天吃着那么好吃的饭
[1541.20-1542.60] 买那么便宜的菜
[1542.64-1544.68] 我有那么可爱的女人
[1544.68-1546.44] 和那么伶俐的女儿
[1546.48-1548.32] 我一个毛民挺好的
[1548.68-1550.16] 所以我挺羡慕你的
[1550.16-1551.60] 你本身已经是神仙了
[1551.60-1554.52] 不用再想着移民润学了
[1554.52-1555.92] 你都对社会的不满
[1555.92-1559.60] 是因为你人生被逼给你给抢了
[1560.08-1561.48] 所以你世界上废了
[1561.52-1562.60] 废了就废了呗
[1562.60-1563.44] 我也废了
[1563.44-1564.32] 我都能放下
[1564.32-1565.64] 你有什么放不下的
[1565.64-1567.52] 快开开开开心心的
[1567.52-1569.24] 能做点小买卖
[1569.24-1570.00] 做点小买卖
[1570.00-1570.88] 做不了小买卖
[1570.88-1571.68] 不是那块料的
[1571.68-1573.04] 把钱存好
[1573.04-1574.56] 如果不知道怎么存
[1574.56-1575.80] 这点翟主席没骗你
[1575.80-1577.00] 能换成美元
[1577.56-1579.48] 存成美元定期存款
[1580.08-1581.56] 一辈子安安稳稳的
[1581.56-1583.40] 如果哪天有机会出国旅游
[1583.40-1584.52] 在国外开个账户
[1584.52-1585.32] 去台湾都行
[1585.72-1587.00] 台湾日本离得近
[1587.00-1588.16] 韩国开个账户
[1588.16-1590.60] 把钱换成美元存在台湾
[1591.08-1591.80] 你放心
[1591.80-1592.96] 他打不下来台湾
[1592.96-1593.84] 存在台湾
[1593.84-1594.80] 然后
[1594.80-1595.44] 你
[1595.44-1597.64]  存美元定期存款
[1597.64-1598.64] 大概有5%
[1598.64-1600.32] 6%的年化利息
[1600.72-1601.52] 这挺舒服的
[1602.08-1603.64] X不让我说明了
[1603.64-1604.48] 这就是大老王
[1604.48-1605.04] 您好
[1605.04-1605.80] 给博主写
[1605.80-1607.20] 这第一层金就给你了
[1607.64-1609.12] 我是一名即将毕业的大学生
[1609.12-1610.16] 也是一名疑粉
[1610.32-1611.84] 前不久看了很多
[1611.84-1613.24] 翟副主席的油管
[1613.24-1614.52] 了解到您的频道
[1614.52-1616.52] 是因为疑讲恒大那一期提到了您
[1616.52-1618.08] 后来发现您回应了
[1618.24-1621.04] 在纵横补金的疑学节目里
[1621.04-1622.64] 这种互动绝无仅有
[1622.64-1623.96] 第一个关注也给您了
[1623.96-1624.88] 之前没敢关注
[1624.88-1625.40] 疑怕被
[1625.40-1627.52] 查你还挺偶像包袱的
[1627.52-1628.48] 大学生是吧
[1628.76-1630.36] 非常喜欢您的节目
[1630.36-1632.84] 能了解到很多根本无从得知的信息
[1632.84-1634.00] 同时您的一些观点
[1634.00-1635.68] 也能让我产生共鸣
[1636.20-1637.72] 希望能与您交流
[1637.84-1638.28] 第一
[1638.28-1639.60] 《盲人摸象》那一集
[1639.88-1642.88] 我中学的时候很喜欢古文和诗词
[1643.48-1645.32] 刚开始看疑的时候
[1645.32-1646.52] 很有被冲击的感觉
[1646.52-1647.56] 但是越看越多之后
[1647.56-1648.60] 明显感觉到
[1648.64-1650.80] 他作为山董家的用心所在
[1650.84-1651.84] 比方说拿台湾
[1651.84-1652.84] 香港作为试验品
[1652.84-1654.40] 进行窥探分析
[1654.44-1655.32] 再谈达赖
[1655.32-1655.36] 和
[1655.36-1656.28] 菲律宾那一期
[1656.28-1658.08] 建议一些人现在就动手
[1658.12-1659.92] 还有在自由亚洲电台回答
[1659.92-1662.32] 什么方便留傲的时候
[1662.32-1664.40] 也说基本没有办法躲掉排华
[1664.40-1666.04] 最好做准备加入它
[1666.08-1666.84] 不过对我来说
[1666.84-1667.32] 疑的意义
[1667.32-1668.36] 仍是无与伦比的
[1668.36-1668.76] 没有疑
[1668.76-1670.52] 我也不会打算现在走
[1671.60-1672.48] 你的分析
[1674.32-1675.64] 你的第六感
[1675.64-1676.56] 哎呀热了
[1678.61-1680.01] 你的第六感分析很对
[1680.65-1682.29] 一会儿想弄600亿美金
[1682.29-1683.45] 建国基金
[1683.57-1684.45] 痴人说梦
[1684.45-1688.13] 一会儿说澳洲排华近在眼前
[1688.13-1689.69] 这些吓唬你们的
[1689.93-1691.25] 确实他在夹带私货
[1691.25-1692.17] 你也看出来了
[1692.37-1694.41] 不过疑不要小看他
[1694.61-1696.73] 因为孙中山在成为大总统之前
[1696.73-1699.45] 也在美国的图书馆里面无所事事
[1699.45-1700.33] 欠了一屁股债
[1700.33-1701.85] 连洗衣房的老板的钱
[1701.85-1702.69] 他都在欠
[1702.73-1703.77] 所以疑这种人
[1703.93-1706.61] 就属于生物大灭绝之前的
[1706.77-1708.81] 地洞里的小小的哺乳动物
[1709.25-1710.53] 大灭绝之后
[1710.61-1711.69] 他们钻出洞来
[1711.69-1714.21] 迅速的就会发育成死心兽
[1714.45-1716.85] 占领地球恐龙灭绝之后
[1716.85-1718.05] 腾出的空间
[1718.57-1719.69] 所以今天的疑
[1719.73-1721.41] 虽然耍了些小聪明
[1721.61-1722.13] 点了我
[1722.13-1724.09] 但是我充满对他的景仰
[1725.33-1726.73] 第二是翟副主席
[1727.65-1729.57] 在墙里面看过他被查的视频
[1729.57-1730.93] 觉得挺侮辱之伤的
[1731.17-1732.41] 翻出来之后很疑惑
[1732.41-1733.37] 他有20个意味着
[1733.37-1734.69] 为什么还要当博主
[1734.85-1736.33] 后来看他讲汇率讲经济
[1736.33-1737.53] 因为不是我的专业
[1737.85-1739.01] 也不知道是真是假
[1739.01-1741.01] 以至于居然看了他很多期节目
[1741.09-1743.01] 直到他不断提起USDC
[1743.01-1743.69] USDT
[1743.69-1744.93] 我才感觉到不对劲
[1745.09-1746.45] 后来看到他讲
[1746.45-1748.01] 他的区块存储链
[1748.57-1750.09] 涉及到我专业的方面
[1750.33-1751.29] 所以我立马就知道
[1751.29-1752.89] 他是个彻头彻尾的骗子了
[1753.41-1754.73] 在海外还敢玩这一套
[1754.73-1755.85] 大概是要老底做穿了
[1756.53-1758.05] 这个孩子大学生
[1758.05-1760.09] 可能是他在学计算机是吧
[1760.21-1761.25] 设计区块链
[1761.41-1762.13] 你懂
[1762.49-1764.61] 他玩的根本就不是真正的区块链
[1764.81-1766.49] 我会找一个时间
[1766.49-1768.45] 把区块链和电子盘讲清楚
[1768.73-1770.21] 弄的还是杀猪盘
[1771.01-1774.17] 还有你和阿姨都提到过的报应
[1774.37-1775.73] 听了阿姨的之后
[1775.73-1776.73] 我真发现自己身上
[1776.73-1778.01] 有很多下等人的习惯
[1778.01-1778.05] 我真发现自己身上有很多下等人的习惯
[1778.05-1779.61] 在宅这种人的忽悠下
[1779.61-1781.37] 真的有一瞬间动了幻想
[1781.37-1781.97] 想去露袋
[1781.97-1782.53] 千万不要
[1782.97-1784.09] 因为你还是大学生
[1784.37-1786.01] 这个心动就让我很惭愧
[1786.01-1786.85] 也很不舒服
[1787.97-1789.29] 很感谢您的那些话
[1789.29-1790.97] 真的和阿姨说的如出一辙
[1791.13-1792.81] 对世界隐秘法则的尊重
[1792.81-1793.73] 是极其重要的
[1793.93-1794.89] 可惜我并不知道
[1794.89-1796.25] 如何改变一些习惯
[1796.41-1798.13] 可能就是过去家里并不富裕
[1798.13-1799.57] 导致一些潜移默化的影响
[1799.57-1801.29] 在我身上留下了很重的痕迹
[1801.29-1802.13] 比如自卑
[1802.33-1804.69] 以及由自卑而引起的内卷
[1804.69-1805.61] 告诉自己
[1805.89-1808.01] 靠努力可以改变现状
[1808.61-1809.25] 当然
[1809.29-1811.73] 我过去也受到过很多积极的影响
[1812.01-1813.85] 否则也不会对医学和您的频道
[1813.85-1814.61] 情有独钟
[1815.13-1816.85] 我成长在起飞的年代
[1817.05-1817.77] 至今
[1817.81-1820.45] 仍对那时候开放的氛围有所印象
[1820.57-1821.89] 例如您说过的薛老师
[1821.89-1823.09] 就是我小时候在微博上
[1823.09-1823.89] 关注的薛蛮子
[1824.81-1826.01] 听您讲教育的时候
[1826.01-1827.69] 既是向往又是伤心
[1827.73-1830.21] 我从小就向往那种快乐学习的环境
[1830.45-1831.97] 即使在学习压力很大的时候
[1831.97-1834.25] 也保持着课外读书和踢足球的习惯
[1834.57-1835.93] 直到现在也是
[1835.93-1837.97] 希望我的后代不用再被折腾了
[1837.97-1839.05] 你要是在中国
[1839.05-1840.77] 你的后代可能会被折腾
[1842.21-1843.09] 在大二的时候
[1843.09-1844.57] 我明显感觉到周围的一切
[1844.57-1845.85] 都是那么的不合理
[1846.09-1847.73] 就算一年多前高考的时候
[1847.73-1848.77] 我还是百里挑一
[1848.77-1850.53] 我的未来却是一片渺茫
[1850.57-1852.13] 以至于现在只能当马弄
[1852.13-1854.05] 拿命换钱或者躺平
[1854.13-1855.73] 但是躺平又缺少关系
[1855.73-1856.65] 很难进体制
[1856.65-1857.61] 我已经预见到了
[1857.61-1859.21] 房地产带来的经济崩溃
[1859.25-1861.01] 感觉就算躺平躺不久
[1861.17-1863.37] 但是没有任何具体的办法能自救
[1863.49-1864.89] 家里给不出很好的建议
[1864.89-1866.45] 只能在大学里内卷
[1866.53-1867.45] 想着保研之后
[1867.45-1867.97] 能读博
[1867.97-1868.57] 出去
[1868.61-1870.37] 后来我发现到了医学
[1870.41-1872.33] 发现情况恶化的有点快了
[1872.37-1873.85] 今年开始有了润的打算
[1873.85-1875.25] 也算是迷途知返
[1875.29-1876.29] 发现您的频道
[1876.29-1877.21] 我如何治保
[1877.25-1878.93] 我在医学之后的又一大收获
[1878.93-1880.29] 因为相对于而言
[1880.37-1882.21] 您在具体的现实问题上
[1882.21-1883.73] 有其他维度的经验
[1884.49-1886.89] 而且您的自私的动机比医要少
[1886.93-1888.05] 分享更为坦诚
[1888.05-1889.09] 比债更不必说
[1889.09-1890.65] 当前一些比较现实的问题
[1890.65-1891.53] 想请教您
[1891.57-1892.21] 请赐教
[1892.21-1893.93] 一温水处青蛙
[1893.97-1895.41] 计划经济什么时候到来
[1895.41-1897.05] 明年出去是否来得及
[1897.09-1897.73] 是否应该
[1897.73-1898.53] 尽快出去
[1898.53-1899.85] 现在马上回答你
[1899.89-1900.69] 不着急
[1900.69-1901.69] 不会那么快
[1901.73-1903.29] 你踏踏实实把学上完了
[1903.29-1904.25] 再出来最好
[1905.25-1906.53] 二是囊中羞涩
[1906.53-1907.53] 可以到欧洲留学
[1907.53-1909.17] 但是并不是非常宽裕
[1909.29-1910.53] 能否应该先到
[1910.53-1911.53] 先工作一两年
[1911.53-1912.89] 攒点钱再留学
[1912.93-1914.41] 或者攒钱到东南亚
[1914.41-1915.33] 更容易润的地方
[1915.33-1916.53] 躲一躲大洪水
[1916.57-1918.33] 一说最近几年经济危机
[1918.33-1919.33] 国外的工作
[1919.37-1921.09] 要留给本地人
[1921.21-1923.29] 国内的工作要靠关系或内卷
[1923.97-1924.93] 读完书之后
[1924.93-1926.49] 更难就业划不来
[1926.53-1927.71] 想倾听您的
[1927.73-1928.33] 看法
[1928.37-1929.29] 语言不是问题
[1929.29-1930.05] 但是当护工
[1930.05-1931.09] 或者电工证
[1931.09-1932.37] 目前还没下决心
[1933.29-1934.41] 是这样
[1934.41-1935.85] 我不知道你的具体的专业
[1935.85-1936.85] 和你就读的学校
[1936.85-1937.97] 和你真正的水平
[1937.97-1940.33] 你首先是个会根极好的孩子
[1940.65-1943.13] 因为你要相信你第六感的感应
[1943.13-1946.05] 记住你一定要相信人第六感的感应
[1946.65-1948.53] 无论是你面对慢看见的人
[1948.69-1951.53] 还是你通过电子油管看到的人
[1952.17-1953.85] 你感觉这个人的亲切
[1953.85-1955.33] 这个人就是你的善人
[1955.45-1956.49] 如果你第一感觉
[1956.49-1957.09] 感觉这个人
[1957.09-1957.69] 有邪气
[1957.73-1959.01] 带着邪劲
[1960.01-1961.01] 我不点名了
[1961.01-1962.05] 你第一反应
[1962.05-1963.81] 你可能感觉他有邪气
[1963.81-1965.25] 他真的就是有邪气
[1965.69-1966.89] 有些人
[1967.25-1968.89] 如果让你感觉到不舒服
[1968.89-1969.89] 你不要追随他
[1969.89-1971.01] 你不要靠近他
[1971.01-1972.17] 因为这叫厄远
[1972.17-1973.81] 厄远你还靠近
[1973.81-1975.69] 给你带来的后果
[1975.69-1977.33] 一定是你要用生命
[1977.33-1978.69] 你要用自己的代价
[1978.69-1979.57] 感情
[1979.81-1980.33] 自由
[1980.33-1981.53] 甚至你的金钱
[1981.57-1983.05] 你的后代去偿还的
[1983.65-1986.33] 如果你得了感应
[1986.49-1987.69] 你虽然是朦朦胧胧
[1987.69-1989.49] 但是你一定相信他的职业
[1989.49-1991.29] 这就是所谓的第六感
[1992.09-1993.25] 阿南耶识
[1993.61-1995.17] 一定要跟随他的职业
[1995.37-1997.21] 该不靠近的要远离
[1997.25-1998.81] 该靠近的要接近
[1999.81-2000.85] 我不点名
[2002.33-2005.97] 所以你靠近我靠近阿姨
[2005.97-2008.65] 这多有慧根的孩子
[2009.17-2011.37] 但是你不着急润
[2011.41-2013.45] 大洪水不会那么快的到来
[2013.69-2014.53] 这是第一
[2015.49-2017.01] 第二就是你要
[2017.01-2019.17] 攒好了上学的钱
[2019.17-2019.97] 你在出国
[2019.97-2021.09] 这个思路是对的
[2021.09-2021.85] 但是国外
[2022.37-2023.81] 尤其是美国加拿大大学
[2023.81-2024.97] 是有助学贷款的
[2024.97-2027.57] 你可以想办法申请助学贷款
[2027.61-2029.69] 如果你是一个技术非常强的
[2029.69-2031.37] 像马斯克这样的达人
[2031.37-2032.29] 你可以联系我
[2032.29-2033.57] 然后迈克
[2034.05-2035.93] 这是一个云南人昆明人
[2035.93-2036.69] 我就不念
[2036.69-2038.05] 因为我这嗓子都快哑了
[2038.53-2041.57] 他说他踢球在云南做足球俱乐部
[2041.61-2045.45] 然后现在想去美国德州
[2045.73-2046.77] 问问是在德州
[2046.77-2047.73] 找一份稳定工作
[2047.73-2048.29] 打工好
[2048.29-2050.05] 还是在德州做
[2050.09-2051.17] 老本行
[2051.17-2052.93] 青少年足球俱乐部好
[2053.29-2054.65] 你要能做本行
[2054.65-2055.53] 当然最好了
[2055.53-2057.33] 但是你要想想
[2057.33-2059.57] 德州的足球青少年俱乐部
[2059.57-2060.41] 是不是免费的
[2060.41-2062.49] 因为我们加拿大这边全是免费的
[2062.49-2063.73] 而且选择能力高
[2063.77-2065.77] 如果有免费的政府资助的
[2065.81-2066.97] 冲击在那摆着
[2066.97-2068.97] 你又不是贝克汉姆
[2069.33-2070.77] 你这玩意能不能招来人
[2070.77-2071.85] 这是个现实的问题
[2072.01-2072.93] 老王你好
[2073.13-2074.45] 首先我成了宅粉
[2074.45-2075.45] 再成了您的粉
[2075.45-2076.53] 又是我蹭来的
[2076.77-2077.45] 下午我去了
[2077.45-2079.13] 您推荐的江净川大师那里
[2079.13-2080.89] 不敢相信一个破旧的楼
[2080.93-2083.25] 下面就像深圳东门那种档口
[2083.29-2084.37] 他在29楼
[2084.41-2086.01] 我进去一位先生刚出来
[2086.05-2087.33] 这位江老师可太逗了
[2087.33-2088.29] 他说好奇怪
[2088.33-2090.13] 这一周多了很多大陆人过来
[2090.13-2092.21] 都说是听了您的视频过来的
[2092.21-2094.81] 我操江净川你给我打钱
[2095.81-2096.97] 他说他没什么名气
[2096.97-2097.85] 所以收费便宜
[2098.45-2099.85] 估计过段时间要涨价了
[2099.85-2101.09] 让各位赶紧去
[2101.21-2103.21] 今天给我算了我出生的时间
[2103.21-2105.25] 然后7天后出结果
[2105.89-2106.65] 推算结果
[2106.65-2106.73] 准备了
[2106.77-2108.09] 准确的有点惊到我
[2108.89-2109.37] 我告诉你
[2109.37-2112.29] 他推算出生时间分钟
[2112.29-2113.29] 他是很累的
[2113.33-2114.45] 真的会把你吓到的
[2114.45-2115.85] 7天后再向您汇报
[2115.85-2117.09] 你记着你欠我东西
[2117.17-2119.17] 7天后一定给我发email
[2119.17-2120.25] 告诉我准不准
[2120.49-2121.77] 至少你以前准不准
[2121.77-2122.45] 如果他不准
[2122.45-2123.37] 你得告诉我
[2124.41-2125.65] 我在视频上跟大家说
[2125.65-2127.17] 江净川学艺未精
[2127.17-2128.53] 大家一定要三思而行
[2128.53-2130.77] 江净川现在9800港币
[2131.65-2133.29] 我相信后边去的
[2133.33-2135.45] 跟江净川老师直接说
[2135.65-2136.65] 江净川老师你看
[2136.65-2138.85] 那个大老王的油管频道
[2138.85-2140.09] 他在推荐你
[2140.13-2141.29] 或者他涨价之后
[2141.29-2143.09] 让他按咱们的老粉丝
[2143.41-2144.77] 9800不要涨价
[2145.01-2146.53] 为什么特别累
[2146.69-2148.65] 他倒算你分钟特别累
[2148.85-2150.09] 倒算你分钟特别累
[2150.29-2153.17] 然后一旦倒算准了
[2153.17-2155.05] 那就是你在害怕了
[2155.41-2157.53] 后边的事就不用你参加了
[2157.53-2159.89] 你爱飞哪飞哪去
[2159.89-2161.77] 去北京去上海去美国
[2161.77-2162.45] 随便去
[2162.45-2163.85] 江老师给你发个电子邮件
[2163.85-2165.05] 让你看准不准
[2165.49-2166.53] 你汗就出来了
[2166.53-2170.19] 转入正题
[2170.19-2170.87] 内容保庇
