[1.87-2.85] 哈喽大家好
[1393.03-1394.31] 这个难度是这么大的
[1394.31-1395.35] 但是能不能做到的
[1395.35-1396.63] 能做到
[1396.63-1398.15] 而且内生性
[1398.15-1399.69] 觉悟之后的改变
[1399.69-1400.97] 内生性改变
[1400.97-1404.29] 它的效果要远远高于外元性的改变
[1404.29-1406.61] 外元性改变的做法
[1406.61-1407.63] 或者给你抓起来
[1407.63-1408.91] 或者给你打残了
[1408.91-1410.19] 这种改变
[1410.19-1411.21] 它效果不好
[1411.21-1411.73] 为什么
[1411.73-1412.75] 就改了外表
[1412.75-1414.03] 没有改内
[1414.03-1415.31] 改了内部机制
[1415.31-1415.81] 他没有改
[1415.81-1417.87] 所以他一遇到这个模板
[1417.87-1419.15] 他还会掉进去的
[1419.15-1420.69] 这一辈子把你腿打断了
[1420.69-1423.25] 下一辈子你还会去当小偷
[1423.25-1423.75] 所以
[1423.75-1426.83] 那怎么去内元性改变呢
[1426.83-1428.61] 我给大家举一个小小的例子
[1428.61-1430.93] 也是我的一个观众朋友
[1430.97-1435.07] 给我来信里面涉及到的例子
[1435.07-1436.09] 他没有孩子
[1436.09-1436.85] 他没有后代
[1436.85-1438.65] 他也没有结婚
[1438.65-1439.67] 他也没有结婚
[1439.67-1441.47] 他也不想结婚
[1441.47-1444.03] 因为他虽然什么都有
[1444.03-1448.13] 因为他忽然意识到自己是暴来的
[1448.13-1449.41] 自己的父母
[1449.41-1450.43] 自己的爷爷奶奶
[1450.43-1452.99] 不是自己的亲爷奶奶亲父母
[1452.99-1454.53] 而令他
[1454.53-1455.81] 忧虑的是
[1455.81-1457.09] 这是他怀疑了
[1457.09-1459.13] 他之前连这事怀疑都没怀疑过
[1459.13-1460.93] 那怀疑这个事
[1460.93-1463.23] 之后呢
[1463.23-1464.51] 他反思
[1464.51-1467.07] 他就忽然理解了为什么自己从小
[1467.07-1468.09] 对于家庭
[1468.09-1469.63] 虽然家人对自己很好
[1469.63-1471.43] 没有感情
[1471.43-1472.71] 也不想生孩子
[1472.71-1473.47] 也不想结婚
[1473.47-1474.49] 就想玩
[1474.49-1475.53] 自己又不缺钱
[1475.53-1477.31] 因为他们家家族
[1477.31-1479.11] 他那个家族是一个
[1479.11-1481.15] 在中国的小企业家家族
[1481.15-1482.69] 爷爷奶奶创业
[1482.69-1483.97] 他是富三代
[1483.97-1485.77] 很有钱
[1485.77-1486.79] 非常有钱
[1486.79-1490.37] 所以他是从家族企业里边领工资的
[1490.37-1490.89] 那
[1490.89-1492.17] 领工资虽然
[1492.17-1494.47] 大家知道这工资虽然不是很
[1494.47-1495.25] 丰厚
[1495.25-1496.77] 很大钱但是
[1496.77-1498.83] 架不住这个企业都是他的呀
[1498.83-1499.59] 他家的呀
[1499.59-1502.15] 而且他家就他一颗独苗
[1502.15-1505.23] 他也不用担心什么被fire掉被炒掉
[1505.23-1507.27] 但是就是没有结婚的欲望
[1507.27-1508.81] 也没有什么
[1508.81-1511.37] 生孩子的冲动
[1511.37-1513.67] 这是什么呢
[1513.67-1515.73] 这就是上帝的安排
[1515.73-1519.31] 这就是你那个命运里面那个命述使然
[1519.31-1520.85] 就是你的父亲母亲
[1520.85-1522.13] 本身
[1522.13-1523.41] 他们
[1523.41-1524.43] 他们有他们的问题
[1524.43-1525.45] 他们可能
[1525.45-1528.01] 前世有孽缘也好
[1528.01-1529.05] 今世有
[1529.05-1529.81] 坏事也好
[1529.81-1533.13] 就是他们在今生中是注定没有孩子的
[1533.13-1534.67] 他们是绝户
[1534.67-1538.25] 按中国老话讲他们应该是绝户家
[1538.25-1540.31] 但是他们为了改命
[1540.31-1542.09] 无论是外力也好还是内缘也好
[1542.09-1543.13] 总之
[1543.13-1544.91] 就觉得我不能当绝户
[1544.91-1546.97] 就把你抱回来了
[1546.97-1549.01] 把你抱回来这种情况
[1549.01-1550.81] 如果按照我们传统的命述的话
[1550.85-1553.93] 你就是结婚你都生不出儿子来
[1553.93-1557.51] 你一定生多少都是女儿
[1557.51-1558.79] 怎么生都是女儿
[1558.79-1559.29] 为什么
[1559.29-1562.11] 因为就是那一句话就是绝户命
[1562.11-1564.93] 绝户命抱来的儿子延续相活
[1564.93-1567.49] 最多只能延续本代
[1567.49-1570.31] 并不能从此之后子嗣绵延
[1570.31-1573.13] 这是上帝设计的规则
[1573.13-1574.65] 但是
[1574.65-1576.45] 今天我给你们点破了
[1576.45-1578.25] 你们认识到这一点
[1578.25-1579.77] 你们就会
[1579.77-1580.81] 真正的怀疑
[1580.85-1582.39] 怀疑和自省之后
[1582.39-1584.43] 你们就会发现人生的变化
[1584.43-1586.49] 什么叫人生变化
[1586.49-1589.81] 就是你突然对女性特别感兴趣
[1589.81-1593.65] 你突然特别想有一个家
[1593.65-1594.67] 当你
[1594.67-1596.73] 突破了这个迷障之后
[1596.73-1599.53] 你的未来的那个发散的命运之术
[1599.53-1601.07] 主子啪就变了
[1601.07-1602.35] 从一个绝户
[1602.35-1604.41] 一下子变到了子嗣绵延
[1604.41-1606.71] 这个时候你生就能生出儿子来
[1606.71-1607.99] 而且你怎么生
[1607.99-1609.53] 都生不出闺女来了
[1609.53-1610.81] 你想要的女儿都很难
[1610.85-1614.69] 就是弄一个accident来的那个孩子吧
[1614.69-1618.53] 就是不经意中自然怀孕的 受孕的
[1618.53-1621.35] 一炮儿子 二炮儿子
[1621.35-1622.37] 三炮
[1622.37-1623.91] 搞不起还是个儿子
[1623.91-1624.93] 为什么
[1624.93-1625.95] 就是因为你
[1625.95-1627.23] 破了你的
[1627.23-1628.25] 原有的命局
[1628.25-1630.05] 这个就是自己破命局
[1630.05-1632.09] 自破命局这个事
[1632.09-1635.17] 今天你如果站在月球看地球
[1635.17-1636.45] 站在观众角度
[1636.45-1637.73] 没有这个问题的观众角度
[1637.73-1639.53] 看我这段视频
[1639.53-1640.55] 你们会觉得
[1640.55-1641.57] 这不是很好吗
[1641.57-1642.59] 这有什么痛苦的
[1642.59-1644.39] 这简直是美哉啊
[1644.39-1646.19] 这简直是大福报啊
[1646.19-1647.97] 高兴还来不及呢
[1647.97-1649.25] 还会痛苦吗
[1649.25-1651.31] 会痛苦
[1651.31-1654.37] 他在本来决定不结婚的这个过程中
[1654.37-1655.91] 玩的这个过程中
[1655.91-1656.93] 突然
[1656.93-1658.99] 莫名其妙无来由的
[1658.99-1661.03] 发现自己是被爆奶的之后
[1661.03-1662.05] 第一次痛苦
[1662.05-1664.87] 第二次痛苦就是他忽然想生孩子了
[1664.87-1665.63] 想结婚了
[1665.63-1667.43] 这个时候真的是痛苦了
[1667.43-1669.73] 因为萝卜白菜各有所爱
[1669.73-1670.51] 他就觉得
[1670.55-1673.11] 不结婚是人生既定价值观
[1673.11-1673.87] 这个时候你要改他
[1673.87-1675.41] 他真的会痛苦
[1675.41-1676.69] 当然
[1676.69-1678.49] 当他一旦被掰直了
[1678.49-1679.25] 开始生了
[1679.25-1681.55] 那他最后10年8年以后他不会痛苦
[1681.55-1683.09] 他会很幸福
[1683.09-1685.65] 但是呢在掰和改变的过程中
[1685.65-1687.19] 他挺迷茫挺彷徨
[1687.19-1690.51] 甚至很容易失去方向
[1690.51-1692.57] 所以我这个小观众呢
[1692.57-1694.61] 给我写信感谢我
[1694.61-1697.69] 说我呢改变了他的人生
[1697.69-1700.51] 他听我说这些乱七八糟怪力乱
[1700.55-1701.57] 然后呢
[1701.57-1703.37] 怀疑了自己的这个身世之后
[1703.37-1705.67] 真的确定了自己的身世来由之后
[1705.67-1708.23] 反而人生有了很多的动力
[1708.23-1710.79] 以前觉得自己没有什么
[1710.79-1713.61] 努力的必要啊或者不可能啊
[1713.61-1714.37] 赚大钱
[1714.37-1716.67] 就忽然甚至大钱都到了自己身上了
[1716.67-1717.95] 爷爷奶奶
[1717.95-1719.75] 忽然就把自己的
[1719.75-1722.57] 经营多年积累多年的大的资产
[1722.57-1724.35] 直接过户给这个孙子
[1724.35-1726.15] 跳过父母直接过户给孙子了
[1726.15-1728.97] 所以他一下子变得特别有钱
[1728.97-1729.73] 那
[1729.73-1730.51] 以前
[1730.51-1731.79] 因为他是这样一个
[1731.79-1735.37] 大家知道这样一个张学良式的公子哥
[1735.37-1737.93] 他对后代根本没有做好准备
[1737.93-1741.27] 上帝的命数也没有让他安排好准备的时候
[1741.27-1744.07] 他有了孩子他都不愿意认
[1744.07-1745.35] 他想逃
[1745.35-1746.89] 因为他不想当爸爸
[1746.89-1749.19] 他不知道为什么自己不想当爸爸
[1749.19-1750.73] 家里边的人很爱他
[1750.73-1752.53] 但是他就是不想当爸爸
[1752.53-1754.57] 所以当女朋友告诉他我怀孕了之后
[1754.57-1756.63] 女朋友是基督徒不会打胎的
[1756.63-1758.41] 他跑了
[1758.41-1759.69] 他躲起来了
[1760.45-1761.73] 给一笔钱
[1761.73-1762.77] 抽屌就走
[1762.77-1764.55] 拔屌走人
[1764.55-1765.83] 这个就拔屌走人就对了
[1765.83-1768.13] 拔屌走人是你原来的命数
[1768.13-1770.69] 你拔了屌走了人之后你把这事忘了
[1770.69-1773.51] 就是按照你原来的命格走了
[1773.51-1776.85] 但是如果你能够看了我的视频之后就像你给我回信一样
[1776.85-1778.13] 幡然悔悟
[1778.13-1779.65] 回去找女朋友
[1779.65-1780.69] 这不够
[1780.69-1781.97] 这不够啊
[1781.97-1784.77] 跟他结婚把他娶回来
[1784.77-1785.55] 继续操他
[1785.55-1788.11] 你还会有儿子
[1788.11-1789.13] 明白吗
[1789.13-1790.67] 你的人生浮博
[1790.67-1791.95] 绵绵不绝
[1791.95-1793.99] 以前做的所有的事
[1793.99-1795.27] 结的所有的恶缘
[1795.27-1796.29] 到此为止
[1796.29-1798.61] 因为你已经意识到了问题
[1798.61-1801.93] 你在那个五浊恶世上帝造的那个
[1801.93-1805.51] 人类的这样一个巨大的这个
[1805.51-1807.81] 电脑游戏仿真系统里面
[1807.81-1808.85] 你找到了缝
[1808.85-1810.63] 而且跳出来了
[1810.63-1813.45] 进入到一个溜光大道
[1813.45-1815.49] 一定给你引上道了
[1815.49-1817.29] 所以这个我就讲过了
[1817.29-1818.83] 这个人类社会的这个
[1818.83-1819.85] 模拟系统啊
[1819.85-1821.13] 无论他是谁造的
[1821.13-1822.15] 是外星人也好
[1822.15-1822.93] 阿努纳奇也好
[1822.93-1824.47] 上级文明也好
[1824.47-1825.75] 他造这玩意
[1825.75-1827.53] 他真的已经疏于管理
[1827.53-1828.81] 就像明朝的那个
[1828.81-1830.09] 老家具一样
[1830.09-1831.63] 虽然这个床还是一个床
[1831.63-1832.39] 没有伞架子
[1832.39-1833.43] 还能当床用
[1833.43-1836.75] 但是所有的关节接缝处的缝原来是没有的
[1836.75-1838.79] 现在那个缝都大的不行了
[1838.79-1840.59] 到处的缝都能钻过
[1840.59-1842.13] 钻过去一个蚂蚁了
[1842.13-1843.41] 为什么没有人气了
[1843.41-1844.17] 没有保养
[1844.17-1845.19] 疏于保养
[1845.19-1845.97] 没有潮气了
[1845.97-1846.99] 所以他就老了
[1846.99-1848.53] 这个人世间的这个系统
[1848.53-1849.81] 就是这个问题
[1849.81-1851.35] 还有好多的缝
[1851.35-1853.39] 你通过外力找这个缝
[1853.39-1855.45] 是犯天机的
[1855.45-1857.75] 因为大师要是给你弄个缝进去
[1857.75-1859.53] 大师自己三瘸六臂
[1859.53-1860.81] 生孩子没屁眼
[1860.81-1865.17] 所以或者58岁59岁60岁就会死就会挂
[1865.17-1867.21] 那你等于害了他也害了你自己
[1867.21-1869.53] 而且你自己因为你没有内原性的感应
[1869.53-1870.81] 就过不去这个缝
[1870.81-1872.59] 很有可能从这个缝里卡住
[1872.59-1874.89] 或者他妈你过了这个缝下一个缝
[1874.89-1876.17] 因为你没有变化了
[1876.17-1877.97] 他妈卡在一个位置了
[1877.97-1878.49] 同一个位置
[1878.49-1880.53] 那内原性感应就不一样
[1880.53-1881.31] 内原性感应是什么
[1881.31-1883.61] 你自己找那个缝进去了
[1883.61-1884.63] 那你牛逼了
[1884.63-1886.69] 你找到过缝密技了
[1886.69-1890.77] 所以这个缝以后对你来说就是康庄大道
[1890.77-1892.05] 没有东西能挡住你
[1892.05-1893.85] 至少在这个层面上没有挡住你
[1893.85-1895.65] 你人生就上了一大台阶
[1895.65-1896.93] 所以那个小伙子
[1896.93-1898.71] 去找你那个日本老婆去吧
[1898.71-1899.99] 那个日本老婆多好啊
[1899.99-1901.27] 给你生了孩子
[1901.27-1904.61] 那钱是你的菩萨呀
[1904.61-1906.65] 给你生了孩子拿了你的钱
[1906.65-1908.19] 你让人家打胎人家都不打
[1908.19-1910.49] 人家做单亲妈妈养大
[1910.49-1911.51] 我操你去
[1911.51-1913.05] 上哪找这好迷洞去
[1913.05-1915.61] 我怎么没有这好命啊我操
[1915.61-1919.71] 要是外边有基督徒女性给我生孩子
[1919.71-1921.25] 宁可自己当单亲妈妈
[1921.25-1923.03] 我感动死了你知道吗
[1923.03-1924.31] 就是为什么全接过来
[1924.31-1926.37] 全接过来
[1926.37-1927.91] 我跟我们家孩儿他妈好好商量
[1927.91-1929.69] 你看有这事不是我故意的呀
[1929.69-1933.79] 这个打了一个雷
[1933.79-1935.59] 他做了个梦他就怀孕了呀
[1935.59-1937.63] 而这个DNA居然是我的
[1937.63-1940.95] 我也不知道为什么咱们就共同把他们抚养起来
[1940.95-1943.01] 咱们把家族弄大吧
[1943.01-1944.79] 开玩笑
[1944.79-1947.87] 但是我跟你说呢就是
[1947.87-1950.17] 表面开玩笑实际咱们说正经的
[1950.17-1952.47] 就是内原性人生改命
[1952.47-1954.01] 人生格局
[1954.01-1955.29] 就是这么破了
[1955.29-1958.11] 这是最简单的改命方法
[1958.11-1960.93] 也是一念之间的改命方法
[1960.93-1963.75] 世上什么最难就是一念最难
[1963.75-1965.27] 一念之间
[1965.27-1967.07] 天堂地狱
[1967.63-1970.19] 一念之间文明野蛮
[1970.19-1972.23] 一念之间就是他妈北欧社会
[1972.23-1977.87] 另一念之间就是他妈中国那个四川大凉山那个五浊恶世
[1977.87-1979.91] 其实每个人的念改了
[1979.91-1982.23] 大凉山用不着20年就会变成北欧
[1982.23-1983.51] 但是你看这就改不了
[1983.51-1984.27] 而且
[1984.27-1985.29] 几千年都改不了
[1985.29-1988.11] 如果没有外力过去大凉山靠他们内部
[1988.11-1992.21] 那个地方人类再发展10万年
[1992.21-1996.31] 都不会发明蒸汽机
[1996.31-1997.59] 就不要说
[1997.63-1999.17] IP了
[1999.17-2000.19] 芯片了
[2000.19-2001.47] 不会发明蒸汽机
[2001.47-2002.23] 一直是
[2002.23-2003.51] 会在那个
[2003.51-2006.85] 土坯房子中间放一个大火堂
[2006.85-2008.89] 那样的一个原始状态下
[2008.89-2010.17] 一直是
[2010.17-2011.71] 浑浑噩噩
[2011.71-2012.99] 生活
[2012.99-2014.01] 生存
[2014.01-2015.03] 几十代人
[2015.03-2017.09] 直至灭亡
[2017.09-2018.11] 所以呢
[2018.11-2020.41] 人要有一个自强不息的精神
[2020.41-2021.69] 要有个探索
[2021.69-2023.49] 好奇未来的怀疑精神
[2023.49-2024.77] 怀疑一切
[2024.77-2026.31] 怀疑之后不要去否定
[2026.31-2027.07] 怀疑之后
[2027.07-2029.11] 首先否认自己
[2029.11-2030.39] 不要去否定外力
[2030.39-2032.95] 当你做好了怀疑做好了否定之后
[2032.95-2034.49] 你就能进步了
[2034.49-2037.05] 好吧今天给大家灌了点心灵鸡汤
[2037.05-2038.33] 但其实不是鸡汤
[2038.33-2041.41] 实际是药方
[2041.41-2042.69] 再见啊
[2042.69-2043.97] 我出去玩去了
[2043.97-2045.25] 今天
[2045.25-2047.03] 温度要大降低了
[2047.03-2048.57] 我今天必须
[2048.57-2050.63] 赶到码头上把那个
[2050.63-2054.47] 柴油发动机的那个柴油箱里面倒进
[2054.47-2056.51] 更多的防冻
[2056.51-2057.79] 添加剂
[2057.79-2062.39] 就是英语叫anti-frozen的这个
[2062.39-2064.19] 柴油的添加剂
[2064.19-2066.49] 那柴油这个东西如果你要是
[2066.49-2069.57] 经历冰点以下甚至零下五度
[2069.57-2070.07] 这样的
[2070.07-2071.35] 10度这样的
[2071.35-2072.39] 低温的话
[2072.39-2074.95] 它的水的部分柴油里面都含水
[2074.95-2079.29] 它的水的部分和它油体的部分本身会发生不好的变化分离
[2079.29-2081.59] 然后你再开出之后再去
[2081.59-2082.87] 发动的话
[2082.87-2085.43] 它会伤害你的发动机
[2085.43-2085.95] 好
[2086.51-2087.27] 再见啊
[2087.27-2088.05] 我去干活了
[2088.05-2088.55] 拜拜
