[0.00-2.88] 哈喽开始直播
[1224.65-1227.05] 呃刚上大学的年龄跳楼了啊
[1227.05-1228.39] 等于高中毕业吗跳楼了
[1228.39-1230.19] 然后老公忽然心急梗塞死了
[1230.19-1231.13] 就剩一个孤老太太
[1231.13-1232.37] 他想接过来啊
[1232.39-1233.55] 所以他就看了看啊
[1233.55-1237.63] 结果有了以上的对话说男丁有损
[1237.63-1241.29] 也就说我和我儿子六七年前跟母亲道无所谓啊
[1241.29-1241.95] 那个没事
[1241.95-1243.21] 但一看他自己哎呀
[1243.21-1245.49] 说你说我赶紧来找您
[1245.49-1247.47] 如果有办法帮我怎样破这一节
[1247.47-1249.39] 那你真有这事我也破不了啊
[1249.39-1251.03] 这个事冒昧冒昧
[1251.03-1252.95] 请求一千加币插队算个命啊
[1252.95-1255.75] 只知道基本有这个EMT不能打
[1255.75-1257.61] 请您告知一下付款方式啊
[1257.61-1258.03] 我知道
[1258.03-1258.67] 钱不多
[1258.67-1259.77] 但家庭条件限制
[1259.77-1261.15] 我别的什么也不问
[1261.15-1264.03] 只一千只求一句话
[1264.03-1265.75] 啥事没有踏实过日子啊
[1265.75-1266.85] 你也不用给我一千了
[1266.85-1268.71] 啥事没有踏实过日子啊
[1268.71-1269.85] 或者我告诉你
[1269.85-1270.69] 你要怎么怎么做
[1270.69-1271.95] 我绝不求别的信息
[1271.95-1275.31] 我在此发心日后已打上形式给您补上啊
[1275.31-1276.93] 我会记得我会做到不用啊
[1276.93-1281.13] 你家庭情况现在也比较特殊经济也比较紧张啊
[1281.13-1284.49] 你不要给我一千加币算那么一句话啊
[1284.49-1285.51] 为什么呢啊
[1285.51-1287.43] 孩子八字我也看了
[1287.43-1288.01] 应该是
[1288.03-1289.23] 是问题不大
[1289.23-1291.53] 孩子的面相我也看了啊
[1291.53-1293.19] 因为呃
[1293.19-1300.87] 这个修行到我这种经呃经历和修行到我这种境界不一定非得看八字啊
[1300.87-1302.27] 就关气就行了
[1302.27-1303.99] 你小儿子啥事没有
[1303.99-1305.85] 你小儿子真的啥事没有
[1305.85-1306.87] 你要不放心呢
[1306.87-1308.43] 我就真给你算算算算呢
[1308.43-1309.69] 就这样呃
[1309.69-1311.61] 如果好我给你发过去
[1311.61-1314.27] 你到时候再感谢我达成我不迟呃
[1314.27-1316.41] 如果不好你一分钱不不要给我
[1316.41-1317.53] 我告诉你该怎么办啊
[1317.53-1317.91] 或者我
[1317.91-1321.23] 没有我没再给你发就说明啥事没有啊
[1321.23-1327.23] 这个孩子目前看他的气啊和望他的像都没有问题啊
[1327.23-1329.85] 健康快乐的一个男男孩
[1329.85-1332.89] 呃我不知道你为什么要自我纠结成这个样子啊
[1332.89-1336.03] 而且你你你想着想着就有了心魔呀
[1336.03-1339.51] 这个是你这等于是世上本无事
[1339.51-1341.31] 庸人自扰之啊
[1341.31-1342.21] 所以啊
[1342.21-1345.95] 我们目前家里的情况是我今年本命年小病不断啊
[1345.95-1346.79] 未尝到的倒是说这也影响到我了啊
[1346.79-1346.91] 所以啊我们目前家里的情况是我今年本命年小病不断啊未尝到的倒是说这也影响到我了啊
[1346.91-1348.19] 所以啊我们目前家里的情况是我今年本命年小病不断啊
[1348.19-1349.47] 所以啊我们目前家里的情况是我今年本命年小病不断啊
[1349.47-1352.33] 我儿子上周从playground一人高的地方摔下来
[1352.33-1354.17] 哥哥不摔骨裂了啊
[1354.17-1354.97] 这都属于正常
[1354.97-1360.69] 因为加拿大小孩都也playground三四米高一个孩子倒着爬上去正着爬上去的那正常啊
[1360.69-1361.63] 这个不是任何事
[1363.01-1365.93] 我已经持续一周左右半夜三点会醒
[1365.93-1368.05] 有时本来就没睡
[1368.05-1372.79] 他是有时我是正在做梦到这点就被硬拉起来啊
[1372.79-1375.13] 巴拉巴拉肋骨缝酸疼
[1375.13-1376.33] 但是在发生啊
[1376.33-1377.81] 按时夜醒之前呢
[1377.81-1380.39] 我扒了过就酸疼啊
[1380.39-1381.83] 不是近期刚酸疼的啊
[1381.83-1382.79] 那你要注意一下啊
[1382.79-1384.59] 因为你弟弟有这个问题
[1384.59-1385.97] 如果你弟弟不是抱懒
[1385.97-1386.93] 第一是亲生的
[1386.93-1389.33] 那你可能就是多多少少也有抑郁症啊
[1389.33-1392.05] 就是精神病是遗传的啊
[1392.05-1393.41] 精神上的疾病啊
[1393.41-1397.07] 或者哪一方面不健全是有遗传性了
[1397.07-1399.29] 我妈这两个月交了个得了癌症
[1399.29-1403.31] 但控制的很好的这么一位男朋友家里突然与这个人联系密切
[1403.31-1403.57] 哎呀
[1403.57-1406.05] 那你要要小心一点啊
[1406.05-1406.61] 就是什么呢
[1406.61-1407.01] 就是
[1407.81-1409.19] 得了癌症
[1409.19-1410.27] 但控制的很好
[1410.27-1411.23] 你看什么癌症
[1411.23-1413.81] 如果要是说肺癌啊
[1413.81-1414.41] 肝癌啊
[1414.41-1416.33] 这种比较厉害的癌症的控制的很好
[1416.33-1417.77] 也没有用啊
[1417.77-1419.21] 实话就这么扎心啊
[1419.21-1419.79] 控制很好
[1419.79-1421.77] 就是三年控制不好
[1421.77-1423.03] 就是三个月
[1423.03-1425.49] 就是你妈现在已经成了这个样子了
[1425.49-1427.09] 他找这么一个男朋友干嘛呢
[1427.09-1430.75] 就是再死一次要完成自己客服的使命吗
[1430.75-1431.81] 所以你也劝劝你嘛
[1431.81-1433.49] 差不多就行了
[1433.49-1435.41] 至少不要太投入啊
[1435.41-1437.81] 不是说你心里想他控制很好
[1437.81-1439.25] 他就不死
[1439.25-1440.33] 再劫难逃
[1440.33-1441.05] 说死就死
[1441.05-1442.67] 到时候你妈别又来一次
[1442.67-1444.23] 又又又抑郁了
[1444.23-1447.29] 所以如果真的是去老年洋哥对着去找去
[1447.29-1449.51] 你找那个壮一点的老头啊
[1449.51-1450.77] 好了
[1450.77-1453.23] 我有一听抵杂的扫地啊
[1453.23-1455.51] 每天暴食催吐
[1455.51-1457.15] 对食欲根本无法控制
[1457.15-1458.75] 像体内住了个饿死鬼
[1458.75-1460.61] 一直都想去看心理医生
[1460.61-1461.97] 但总提不起劲
[1461.97-1463.57] 真的去做副照片啊
[1463.57-1466.01] 我看了看你家人面相都挺好
[1466.01-1467.69] 因为你老婆和你儿子都挺好
[1467.69-1467.79] 好
[1467.81-1468.71] 好的
[1468.71-1469.97] 你也没问题啊
[1469.97-1472.13] 你也是一个挺壮实的人啊
[1472.13-1474.05] 你不要想这些烂七八糟东西啊
[1474.05-1475.53] 心思太缜密啊
[1475.53-1478.79] 就容易淫诡该吃吃该喝喝啊
[1478.79-1483.23] 啥事别往心里搁不要自己没事折腾自己啊
[1483.23-1486.87] 人家知道这句话叫生死有命富贵在天啊
[1486.87-1488.63] 你这怎么不用想那么多
[1488.63-1489.41] 好吧
[1489.41-1490.19] 下一位啊
[1490.19-1491.69] 百刀会会员来信
[1492.65-1494.27] 求老王分享
[1496.05-1496.61] 您好老王
[1496.61-1497.57] 我关注您频道
[1497.81-1499.67] 您的网络有几十年有余
[1499.67-1502.55] 几乎所有话题都是我感兴趣的
[1502.55-1505.55] 看了你的学到了太多有用的东西
[1505.55-1510.07] 深以为老王是中文油管界的一朵奇葩璀璨
[1510.07-1511.91] 阔乎此处绝对宝艺
[1511.91-1513.17] 小弟有一事相求
[1513.17-1514.49] 今年四十三岁啊
[1514.49-1518.87] 某地外企啊中层收入肯定高啊
[1518.87-1520.49] 他这个他这地方非常发达啊
[1520.49-1521.69] 中国最好的地方
[1521.69-1525.41] 生活中最苦闷的事情就是来自自己的性啊
[1525.41-1527.69] 姓氏年轻的时候手淫过多
[1527.69-1530.39] 可是性能力很一般时间短
[1531.65-1533.15] 就是早泄呗啊
[1533.15-1539.09] 长期以来也也许是无法像老王一样天赋异禀技术超群
[1539.09-1541.85] 老婆已经性冷淡了啊
[1541.85-1543.59] 完全提不起兴趣
[1543.59-1545.47] 多年夫妻芬芳相处
[1545.47-1547.31] 感情日益淡薄
[1547.31-1551.99] 在看到最近一期有个小伙子分享的宋玉京玉女经验之后
[1551.99-1556.43] 顿时心生希望一定在后续时间中尝试练习
[1556.43-1557.63] 那你老婆对你有成见吗
[1557.63-1560.69] 你很难你最好是找一个神女啊
[1560.69-1562.37] 反正你收入也高吗
[1562.37-1563.81] 你找个小妓女啊
[1563.81-1566.27] 这个年轻的小妓女你注意注意好
[1566.27-1567.71] 注意好戴好套
[1567.71-1570.19] 然后你在实践中尝试啊
[1570.19-1572.03] 你不要找你老婆尝试啊
[1572.03-1572.45] 第一
[1572.45-1574.55] 第一就是人一旦有了成见
[1574.55-1577.25] 人心的成见比山还要高啊
[1577.25-1579.47] 而且你们夫妻已经出现隔阂了
[1579.47-1581.33] 已经芬芳很多年了
[1581.33-1582.81] 你这个时候再去练习
[1582.81-1584.87] 你自己也容易笑场
[1584.87-1585.77] 明白吗
[1585.77-1586.97] 就是容易笑场啊
[1586.97-1587.61] 就是你自己也容易笑场啊
[1587.63-1590.69] 你你表演相声在特别熟的人面前
[1590.69-1592.49] 你表演笑话你先笑了
[1592.49-1594.83] 为什么大家太熟了啊
[1594.83-1600.11] 左手摸右手不容易练练习尝试新新姿势新花样
[1600.11-1604.13] 然而本人二地尺度细短小
[1604.13-1607.19] 平时绵软四至五厘米
[1607.19-1610.43] 即便勃起也无非八至九厘米
[1610.43-1613.29] 特别是围腰围啊
[1613.29-1616.13] 很细直径两厘米左右
[1616.13-1617.63] 反正您这个数据啊
[1617.63-1618.29] 一般情况下
[1618.29-1620.75] 男人都喜欢往多里说一点啊
[1620.75-1621.29] 比如说
[1621.29-1624.11] 十五厘米
[1624.11-1628.85] 其实可能没有最多连根量可能才十三厘米
[1628.85-1630.11] 但他号称十五厘米
[1630.11-1632.09] 呃粗
[1632.09-1633.65] 我四点五厘米
[1633.65-1636.59] 其实根本就四厘米都悬
[1636.59-1637.07] 但是呢
[1637.07-1639.17] 他就说我四点五六厘米
[1640.19-1642.71] 所以我不知道您这个数是实打实的
[1642.71-1644.57] 还是吹过的
[1644.57-1646.77] 就是说直径两厘米呃勃起两厘米
[1646.77-1647.63] 呃勃起两厘米
[1647.63-1649.15] 做到这个东西之后
[1649.15-1650.61] 八厘米
[1650.61-1652.17] 不会是啊
[1652.17-1657.53] 就是加了我们男性正常的吹牛逼比例吧
[1657.53-1660.71] 那是个问题就太严重了
[1660.71-1661.53] 两厘米啊
[1661.53-1662.35] 两厘米呢
[1662.35-1664.87] 就比大拇指粗不了多少了
[1664.87-1666.15] 那就
[1668.31-1669.01] 嗯嗯
[1669.01-1670.19] 那这个
[1671.13-1673.03] 这个他妈的这个八厘米
[1673.03-1676.31] 这个如果要是就还还是从根上两的
[1676.31-1677.27] 那
[1677.63-1681.23] 那是确实是我能相信
[1681.39-1685.59] 因为我在X上也经常看小笑话
[1685.59-1686.47] 黄色小笑话
[1686.47-1690.03] 说韩国人韩国男人的鸡鸡小
[1690.03-1693.67] 说一个小一个小妓女说韩国白人妓女
[1693.67-1695.55] 说我接韩国的客人
[1695.55-1696.95] 我得从毛里边找出来
[1696.95-1698.39] 他翻出来的
[1698.39-1699.75] 就是得小到那种程度
[1699.75-1703.07] 所以我不知道你的真实的数据
[1703.07-1704.87] 如果咱们不吹牛逼
[1705.59-1706.19] 不吹牛逼
[1706.19-1707.67] 实打实八到九厘米
[1707.67-1709.55] 两厘米倒也行
[1710.55-1712.03] 也不是说那聊胜于无
[1712.91-1713.75] 倒也行
[1713.75-1717.19] 但是你就别找东北的姑娘
[1717.19-1718.59] 你千万别找东北姑娘
[1719.27-1721.39] 你别找身高1米6以上的
[1722.19-1723.15] 你不卖吃
[1723.15-1724.91] 你就找1米48
[1725.71-1727.15] 体重80斤
[1727.43-1727.91] 你懂吧
[1727.91-1729.11] 你就得找这样的了
[1729.75-1733.15] 你比如说我像我这种体重
[1733.15-1735.15] 这种壮汉
[1735.39-1736.11] 什么1米4
[1736.11-1736.15] 8
[1736.15-1736.17] 8
[1736.19-1739.39] ,1米5几的那种幼壮
[1739.39-1740.71] 那种幼齿壮的
[1740.71-1742.23] 我夹都不能夹
[1742.23-1743.19] 我看都不能看
[1743.19-1743.75] 为什么
[1743.75-1745.59] 我会弄死他的
[1745.59-1747.79] 就是就会把大胯给掰断了的
[1747.79-1749.99] 我今天看有真实案例
[1749.99-1752.23] 前一段时间两个网友奔线
[1752.23-1753.35] 男的挺壮的
[1753.35-1754.91] 女的什么的80斤
[1754.91-1757.15] 还号称80斤
[1757.15-1759.07] 可能真正体重才70多斤
[1759.07-1760.67] 两个人去奔线了
[1760.67-1761.91] 到新疆奔线
[1761.91-1763.51] 在内蒙草原上干
[1763.51-1766.15] 结果把女的的大腿给掰断了
[1766.15-1768.15] 摆断了
[1768.15-1770.15] 女方家索赔50万
[1770.15-1772.11] 最后男的认倒霉给了10万
[1772.11-1773.23] 这就是说
[1773.23-1775.63] 但这种女人你一定要把她找着
[1775.63-1777.79] 对你来说就是救了你了
[1777.79-1779.55] 你们双方向奔赴一下
[1779.55-1781.63] 就是你老婆肯定没兴趣
[1781.63-1784.03] 除非你老婆没试过别的男人
[1784.03-1785.87] 只要你老婆试过一次别的男人
[1785.87-1787.83] 就那你怎么练的没戏了
[1787.83-1792.27] 因为这些东西就是潘长江干郑海侠
[1792.27-1795.59] 郑海侠是永远不可能真的爽的
[1795.59-1796.11] 所以
[1796.11-1799.31] 这个情况就是你得找小一点的
[1799.31-1802.07] 你这个也很好找
[1802.07-1803.51] 你找大的不好找
[1803.51-1804.71] 你找小的还不好找
[1804.71-1807.03] 所以你这一因为他只要长得小
[1807.03-1807.99] 又瘦又小的
[1807.99-1810.43] 他那底下就都一般都很小
[1810.43-1814.71] 所以就你找这样的才能方得尺寸
[1814.71-1818.75] 然后听闻有教友给老王试用药膏
[1818.75-1820.83] 非常想尝试一下增大效果
[1820.83-1821.71] 不明显
[1821.71-1824.03] 我自己亲身试验了
[1824.03-1825.51] 我不乱带货的
[1825.51-1825.99] 我带货
[1825.99-1827.15] 我从不犯责
[1827.15-1828.31] 我实话实说不明显
[1828.31-1828.99] 就属于什么
[1828.99-1831.15] 的属于锦上添花
[1831.15-1831.63] 明白吧
[1831.63-1832.83] 就是锦上添花
[1832.83-1834.07] 绝不是雪中
[1834.07-1835.59] 绝不是雪中送炭
[1835.59-1837.27] 就是你涂上以后
[1837.27-1838.23] 他火烧火燎的
[1838.23-1839.75] 你就想干
[1839.75-1841.19] 就是这个效果
[1841.19-1842.11] 然后用尽沸腿
[1842.11-1843.39] 你天天干天天涂
[1843.39-1844.95] 然后他就
[1844.95-1847.07] 但是你要是说从8厘米长到14厘米
[1847.07-1848.15] 想都不行
[1848.15-1850.15] 那从8厘米长到9厘米
[1850.15-1851.31] 那差不多
[1851.31-1851.91] 所以
[1854.47-1855.87] 哪怕只有略微
[1855.87-1856.47] 有点效果
[1856.47-1858.03] 也是对我心理上的巨大安慰
[1858.03-1859.59] 那你要是这么想
[1859.59-1860.67] 那还是有效的
[1860.67-1862.51] 请教主不吝分享
[1862.51-1864.15] 那位教友的联系方式
[1864.15-1867.07] 他就是这个小律师
[1867.07-1868.47] 他现在在国内
[1868.47-1869.19] 他卖呢
[1869.19-1871.03] 他有一个微信号
[1871.03-1872.23] 你就找他去吧
[1872.23-1873.79] 但是实话实说
[1873.79-1876.47] 我带货要谨慎
[1876.47-1879.23] 就是说你要想得到多大的效果
[1879.23-1879.71] 不行
[1879.71-1882.15] 这只是一个
[1882.15-1882.71] 大家知道吧
[1882.71-1883.75] 9变成10
[1883.75-1885.71] 9厘米变成10厘米
[1885.87-1888.15] 本人愿意付费使用
[1888.15-1889.15] 那你必须付费
[1889.15-1890.39] 他要的可贵了
[1890.39-1892.11] 好几万他那一瓶
[1892.11-1894.63] 哪怕有可能的轻微副作用
[1894.63-1896.35] 我也愿意了解后尝试
[1896.35-1896.83] 没有
[1896.83-1898.63] 我这个我要给他证明
[1898.63-1899.71] 确实没有副作用
[1899.71-1901.99] 有任何问题自己承担
[1901.99-1902.75] 绝不多言
[1902.75-1904.19] 小杨律师在群里
[1904.19-1904.75] 对
[1904.75-1906.19] 你就找小杨律师自己买去
[1906.19-1907.67] 我就不给他带了
[1907.67-1910.23] 因为没有那么明显
[1910.23-1911.07] 至少在我身上
[1911.07-1912.59] 他没有起到什么
[1912.59-1914.03] 智飞跃
[1914.03-1915.63] 对
[1915.63-1915.83] 可以
[1915.83-1916.35] 做手术
[1916.43-1917.07] 有阴静
[1917.07-1918.03] 增大增长术
[1918.03-1920.71] 但是这代价很大
[1920.71-1921.87] 代价很大
[1922.55-1923.15] 对
[1923.15-1924.79] 就是小杨律师送火煎糕
[1924.79-1925.59] 那个火煎糕
[1925.59-1927.71] 就是正常男人不用
[1929.03-1930.39] 像他这种情况
[1930.39-1930.75] 哎
[1930.75-1932.03] 你倒可以试一试
[1932.03-1933.27] 先用一瓶连着用
[1933.39-1934.47] 每天抹试试
[1934.47-1935.43] 好了
[1936.59-1938.11] 真是没办法
[1938.27-1939.27] 下一个更惨
[1941.15-1942.75] 因为这个东西跟你手
[1942.75-1944.11] 手淫不手淫没有关系
[1944.63-1945.75] 说我从小
[1945.75-1946.47] 手淫
[1946.47-1948.71] 然后就是积极没长大
[1948.71-1950.39] 那天一拍虎眼子
[1950.39-1952.63] 那你手也很不手淫
[1952.63-1954.79] 这个玩意就跟你身高一样
[1955.59-1957.43] 你能长到1米9
[1957.71-1958.67] 你就不好吃饭
[1958.67-1959.71] 他也能长1米9
[1959.99-1961.99] 你就是天天在家打游戏
[1961.99-1963.47] 最后也能到1米88
[1964.55-1967.23] 你没那个基因
[1967.23-1968.95] 你也不行
[1968.95-1970.47] 好了
[1970.47-1971.47] 嗯
[1972.55-1974.87] 这是谁在 gary gary 公
[1974.87-1975.71] 可苦
[1975.75-1977.47] 练舌和手指
[1977.47-1979.55] 对我补充一下
[1979.55-1982.07] 就是他这个建议还蛮好的
[1982.07-1986.03] 就是可以可以学养老
[1986.03-1986.63] 哪个养老
[1986.63-1988.91] 就是杨振宁
[1988.91-1989.63] 养老
[1989.63-1992.03] 杨振宁和翁帆结婚
[1992.03-1993.43] 一个82一个28
[1993.87-1995.59] 然后两个人去做体检
[1995.59-1997.23] 婚前都要做体检
[1997.23-1998.71] 养老也不例外
[1998.71-2001.43] 然后这翁帆检查完了
[2001.43-2002.35] 该李杨振宁
[2002.71-2003.91] 养老您好
[2003.91-2004.63] 你好
[2004.63-2005.59] 医生您好
[2005.75-2008.03] 请您露出自己的性器官
[2008.03-2008.87] 养老
[2008.87-2011.24] 诶
[2011.24-2011.96] 诶
[2011.96-2012.96] 露出性器官
[2012.96-2013.80] 诶
[2013.80-2014.28] 这对对
[2014.28-2015.48] 你可以学养老
[2015.48-2016.80] 诶
[2016.80-2018.60] 还有一招我可以教给您
[2018.60-2018.96] 啊
[2018.96-2021.52] 这我诚诚智向您推荐啊
[2021.52-2024.20] 这招可能可能比别的还好
[2024.20-2027.96] 就是这个在这个男女性爱玩具领域啊
[2027.96-2028.36] 哎
[2028.36-2029.40] 有一款
[2029.40-2032.20] 有一款是男性增大套
[2032.20-2032.84] 什么意思
[2032.84-2034.44] 就是他是一个假火箭啊
[2034.44-2035.88] 就是硅胶做的那个
[2035.88-2036.84] 当然就跟女性玩具啊
[2036.84-2037.80] 跟玩具一样
[2037.80-2038.96] 但是它是空心的
[2038.96-2042.92] 它那个不是里边没有什么马达电机
[2042.92-2044.56] 什么电电池都没有
[2044.56-2046.04] 它就是一个空心的套
[2046.04-2046.16] 哎
[2046.16-2048.28] 它就跟里边跟避孕套似的
[2048.28-2052.32] 你你就可以把它套在你那个短小的小火箭上
[2052.32-2052.84] 这样的话
[2052.84-2054.76] 你的火箭就变成大的了
[2054.76-2056.24] 而老王那那不就没感觉了
[2056.24-2058.32] 我擦你还要啥自行车啊
[2058.32-2061.52] 你能让你老婆有感觉的最重要了
[2061.52-2063.28] 所以这个这个我给你推荐啊
[2063.28-2064.96] 这有这东西啊
[2064.96-2065.72] 呃
[2065.72-2066.68] 你可以搜索啊
[2066.84-2067.88] 搜索一下
[2067.88-2068.72] 嗯
[2068.72-2071.80] 这个对你来说可能比那个药膏啊
[2071.80-2072.60] 更管用
[2072.60-2075.40] 对空心玉米棒子差不多
[2075.40-2075.56] 哎
[2075.56-2076.48] 啥形状的都有
[2076.48-2077.68] 有玉米啊
[2077.68-2079.08] 还有维尼呢
[2079.08-2080.76] 还有还有维尼熊呢
[2080.76-2082.60] 你买维尼熊之后更更厉害了
[2082.60-2083.36] 我操
[2083.36-2085.12] 那肩上附体
[2085.12-2085.44] 呃
[2085.44-2088.80] 买一个大号的黑人版的维尼熊
[2088.80-2090.28] 黑熊
[2090.28-2091.00] 呃
[2091.00-2094.36] 这个尊敬的教主王叔
[2094.36-2094.80] 您好
[2094.80-2096.40] 我是一一名墙内的
[2096.40-2098.24] 忠诚小教友
[2098.24-2100.48] 之前没翻墙的时候看了抖音
[2100.48-2102.44] 搬运您讲中美经济
[2102.44-2105.12] 逼掉经济学之后感觉五体投地
[2105.12-2107.56] 后来翻墙直接给我推送翟山英
[2107.56-2108.76] 我看了几天
[2108.76-2110.28] 后来发现他一直在唱
[2110.28-2112.44] 虽说中国马上要亡
[2112.44-2112.76] 呃
[2112.76-2113.40] 绝种
[2113.40-2115.56] 我感觉这个人讲的反过来调过去
[2115.56-2116.48] 就那么两句啊
[2116.48-2117.16] 没什么营养
[2117.16-2118.32] 也没什么意思
[2118.32-2119.96] 就算经济确实不好
[2119.96-2121.92] 红潮该下台
[2121.92-2124.32] 天天说也没什么兴趣了啊
[2124.32-2125.92] 也发现他面向
[2126.40-2128.52] 因为后来想起来
[2128.52-2131.28] 您我就在油管上面把您找到了
[2131.28-2133.72] 看了您的视频如获至宝
[2133.72-2136.96] 这三个月的时间几乎把能看的视频直播全看了一遍
[2136.96-2137.48] 回放啊
[2137.48-2139.16] 重塑了我的价值观
[2139.16-2142.16] 特别喜欢您讲的历史感触良多
[2142.16-2147.88] 原来这些被捧上神坛的人也和我们这些平民小老百姓的欲望差不多
[2147.88-2149.80] 只不过他们比我们欲望更加强烈
[2149.80-2151.60] 更灭绝人性啊
[2151.60-2152.44] 你说错了
[2152.44-2154.08] 你这世界观不对啊
[2154.08-2154.68] 嗯
[2154.68-2156.28] 他们比你们的运气
[2156.40-2160.80] 好运气才是第一重要的命好
[2160.80-2164.16] 后来我看了您讲采银补阳那期啊
[2164.16-2165.64] 深深吸引了我
[2165.64-2167.96] 我一直想给您写信都不好意思说啊
[2167.96-2173.12] 但是看了您昨天的节目结尾讲早泄的时候给了我鼓起勇气啊
[2173.12-2175.60] 我是一名刚毕业的男大学生
[2175.60-2177.36] 现在就职一家小企业啊
[2177.36-2178.88] 工作刚入职不久啊
[2178.88-2180.68] 看那样子也就22岁左右吧
[2180.68-2181.76] 年轻人啊
[2181.76-2186.28] 一个月只有六七千人民币的收入给您写信不是为了求
[2186.28-2188.08] 未来的选择啊
[2188.08-2190.28] 我的问题比赚不到钱更严重啊
[2190.28-2192.16] 我有严重的早泄
[2192.16-2195.24] 之前小时候一直手淫经常性的滋味
[2195.24-2199.76] 到后来真刀真枪上阵的时候发现碰一下我都受不了
[2199.76-2201.68] 我的第一次也是朝圣的啊
[2201.68-2202.88] 也是嫖妓的
[2202.88-2205.92] 那个时候过18岁生日啊
[2205.92-2207.04] 但是那天喝了酒
[2207.04-2207.84] 没什么感觉
[2207.84-2209.20] 时间还可以
[2209.20-2211.52] 但是中途出了点小插曲
[2211.52-2212.32] 套子漏了
[2212.32-2214.16] 吓得我半个月没怎么吃饭
[2214.16-2215.68] 害怕自己得艾滋病
[2215.68-2217.16] 整天郁郁寡欢
[2217.16-2219.00] 那你动作很粗野啊
[2219.00-2222.24] 后来去医院检查没什么事才放心
[2222.24-2226.08] 但这件事也给我18岁幼小的心灵埋下了阴影
[2226.08-2227.56] 后来一直自慰
[2227.56-2229.80] 但是发现时间很短
[2229.80-2232.88] 到最后碰一下就要早泄了
[2232.88-2234.48] 我想人也忍不住啊
[2234.48-2235.80] 大学交了三个女朋友
[2235.80-2239.04] 一两个是因为这个事间接分手的啊
[2239.04-2240.84] 不是是直接分手的
[2240.84-2241.84] 因为这个事的话
[2241.84-2244.48] 那就没有什么比这个事更直接的了
[2244.48-2245.64] 但是他们都是小女生
[2245.64-2248.84] 可能是因为我总拿这个事情躲避吵架吧
[2248.84-2251.12] 现在我还年轻
[2251.12-2252.52] 我不想我以后的人生
[2252.52-2254.64] 因为一根不中用的屌就此结束
[2254.64-2255.80] 我很痛苦
[2255.80-2256.68] 很焦虑啊
[2256.68-2257.80] 我哈尔滨人啊
[2257.80-2259.04] 你就冲你是哈尔滨人
[2259.04-2259.88] 我也帮你啊
[2259.88-2262.28] 因为我的好朋友好多都是哈尔滨人
[2262.28-2265.72] 我从哈尔滨来某地之后啊
[2265.72-2268.28] 认识的朋友开玩笑都说
[2268.28-2270.40] 感觉我比他们这边的人啊
[2270.40-2271.52] 他去南方上班了
[2271.52-2272.20] 熊壮
[2272.20-2274.32] 其实什么样子
[2274.32-2276.88] 只有只有我自己知道啊
[2276.88-2278.36] 一起去嫖娼
[2278.36-2280.68] 我都偷偷买印度神油擦上啊
[2280.68-2282.08] 就怕丢面子
[2282.08-2285.40] 怕小姐说你怎么这么大的个子这么不中用
[2285.40-2286.24] 我很伤心
[2286.24-2287.00] 我很难过
[2287.00-2288.04] 我也尝试过
[2288.04-2290.16] 您说不集中注意力
[2290.16-2292.24] 但是我还是紧张心跳
[2292.24-2293.80] 做不到
[2293.80-2296.72] 后来看网上大夫说可以治疗
[2296.72-2298.72] 但是又看到说没什么用
[2298.72-2299.72] 我很纠结
[2299.72-2300.68] 很痛苦
[2300.68-2303.40] 这也许是年少无知买单吧啊
[2303.40-2304.52] 为年少无知买单吧
[2304.52-2307.40] 教主请为我指点迷津啊
[2307.40-2312.24] 如果有教友哥哥叔叔有这方面的专家帮我联系
[2312.24-2315.44] 最后叫着我可不可以每月给您转七百元人民币
[2315.44-2317.84] 您在后台给我授权一个百道会会员
[2317.84-2318.92] 不可能啊
[2318.92-2319.88] 我做不到啊
[2319.88-2321.76] 这个是做不到的啊
[2321.76-2323.20] 不是说我不同意啊
[2323.20-2328.20] 就是油管没有给我们频道主这种权限啊
[2328.20-2330.52] 说后台给你一个会员
[2330.52-2331.56] 我们做不到的啊
[2331.56-2332.40] 所有
[2332.40-2332.84] 因为
[2333.40-2335.52] 我做到油管吃什么呀
[2335.52-2337.56] 那不是把我不就把油管的韭菜割了吗
[2337.56-2340.96] 所以油管啊要把钱都收走了啊
[2340.96-2343.24] 因为我在国内没法进入
[2343.24-2343.88] 可以的话
[2343.88-2346.64] 我可以在呃您可以在直播室做个通知啊
[2346.64-2348.28] 祝您这个那个的啊
[2348.28-2350.28] 嗯
[2350.28-2351.60] 最后一步是啊
[2351.60-2354.88] 祝您早日成为中文区第一海外孤中大V
[2354.88-2355.84] 那个人下台
[2355.84-2358.12] 您回国到时候跟您喝一杯
[2358.12-2358.48] 好
[2358.48-2359.56] 谢谢你啊
[2359.56-2362.36] 那个呃借你机缘
[2362.36-2363.36] 我给你点播点播
[2363.40-2363.92] 啊
[2363.92-2365.40] 就是你这个根啊
[2365.40-2366.20] 你得找出根来
[2366.20-2367.40] 凡事都要找出根
[2367.40-2368.72] 你这叫心病啊
[2368.72-2373.20] 你这个比上一个朋友呃那个要简单的多
[2373.20-2374.88] 因为那个哥们是没办法了
[2374.88-2376.76] 那个哥们只有两厘米粗
[2376.76-2377.68] 八厘米长
[2377.68-2379.20] 而且还是他自己说的
[2379.20-2379.84] 他自己说呢
[2379.84-2381.12] 要打打掉水分的话
[2381.12-2383.76] 那简直这个就是没有办法了
